KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
C01087	C5H8O5	148.0372
C01088	C6H10O5	162.0528
C01089	C4H8O3	104.0473
C01090	C19H32O2	292.2402
C01091	C23H30N2O5	414.2155
C01092	C9H17NO3	187.1208
C01093	C12H20O11	340.1006
C01094	C6H13O9P	260.0297
C01096	C6H15O9P	262.0454
C01097	C6H13O9P	260.0297
C01099	C6H13O8P	244.0348
C01100	C6H12N3O4P	221.0565
C01101	C5H11O8P	230.0192
C01102	C4H10NO6P	199.0246
C01103	C10H13N2O11P	368.0257
C01104	C3H9NO	75.0684
C01107	C6H13O7P	228.0399
C01108	C6H6O3	126.0317
C01109	C6H10N2O3	158.0691
C01110	C5H9NO3	131.0582
C01111	C10H7NO5	221.0324
C01112	C5H11O8P	230.0192
C01113	C6H13O9P	260.0297
C01114	C5H8O5	148.0372
C01115	C6H10O6	178.0477
C01117	C5H10O7PR	
C01118	C8H13NO6	219.0743
C01119	C4H8O2S2	151.9966
C01120	C18H40NO5P	381.2644
C01121	C8H19N6O7P	342.1053
C01122	C24H37N7O17P3SR	
C01123	C10H16O	152.1201
C01124	C21H30O5	362.2093
C01125	C6H8O3	128.0473
C01126	C15H26O	222.1984
C01127	C5H6O6	162.0164
C01131	C6H13O8P	244.0348
C01132	C8H15NO6	221.0899
C01133	C8H15NO7	237.0849
C01134	C11H23N2O7PS	358.0964
C01137	C14H23N6O3S	355.1552
C01138	C21H40N7O15P	661.232
C01139	C4H6N2O3R2	
C01140	C6H11O6R	
C01141	C4H6N2O3R2	
C01142	C6H14N2O2	146.1055
C01143	C6H14O10P2	308.0062
C01144	C25H42N7O18P3S	853.152
C01146	C3H4O4	104.011
C01147	C6H10O2	114.0681
C01149	C7H16NO	130.1232
C01151	C5H12O11P2	309.9855
C01152	C7H11N3O2	169.0851
C01153	H2PO4R	
C01155	C15H10O13S2	461.9563
C01156	C15H10O13S2	461.9563
C01157	C5H9NO3	131.0582
C01158	C13H16O10	332.0743
C01159	C3H8O10P2	265.9593
C01161	C8H8O4	168.0423
C01162	C6H9N3O2	155.0695
C01163	C7H6O6	186.0164
C01164	C27H44O	384.3392
C01165	C5H9NO3	131.0582
C01166		
C01167	C10H11N2O6PR2	
C01168	C9H13N2O9P	324.0359
C01170	C17H27N3O17P2	607.0816
C01171	C6H13O9P	260.0297
C01172	C6H13O9P	260.0297
C01173	C10H8O3	176.0473
C01175	C17H22O10	386.1213
C01176	C21H30O3	330.2195
C01177	C6H13O9P	260.0297
C01179	C9H8O4	180.0423
C01180	C5H8O3S	148.0194
C01181	C7H16NO2	146.1181
C01182	C5H12O11P2	309.9855
C01183	C8H11NO	137.0841
C01185	C11H15NO9P	336.0484
C01186	C6H14N2O2	146.1055
C01187	C8H14O8	238.0689
C01188	C4H8O3	104.0473
C01189	C27H46O	386.3549
C01190	C25H46NO8R	
C01191	C25H45O8P(C5H8)n	
C01192	C19H37O7P	408.2277
C01194	C11H17O13PR2	
C01197	C9H8O4	180.0423
C01198	C9H10O3	166.063
C01200	C10H17NO12PR	
C01201	C21H35N9O15P2	715.1728
C01203	C18H33OSR	
C01204	C6H18O24P6	659.8614
C01205	C4H9NO2	103.0633
C01209	C3H3O3SR	
C01210	C3H10NO4P	155.0347
C01211	C7H13N3O3R2	
C01212	C23H36N4O20P2	750.1398
C01213	C25H40N7O19P3S	867.1313
C01214	C6H13NO5	179.0794
C01215	C7H9NO5	187.0481
C01216	C6H10O6	178.0477
C01217	C30H45N6O16P	776.263
C01218	C6H11O10P	274.009
C01219	C15H23N3O15P2	547.0604
C01220	C6H14O12P2	339.996
C01221	C21H42N7O15P	663.2477
C01222	C16H23N5O15P2	587.0666
C01225	C9H19O11P	334.0665
C01226	C18H28O3	292.2038
C01227	C19H28O2	288.2089
C01228	C10H17N5O17P4	602.957
C01229	C14H22O8PR3	
C01230	C30H52O7P2	586.3188
C01231	C6H14O12P2	339.996
C01233	C5H14NO6P	215.0559
C01234	C4H7NO2	101.0477
C01235	C12H22O11	342.1162
C01236	C6H11O9P	258.0141
C01239	C8H16N2O5	220.1059
C01240	C5H8O6PR	
C01241	C8H14NO8PR2	
C01242	C9H19N2OS2R	
C01243	C6H15O15P3	419.9624
C01244	C9H6I2O4	431.8355
C01245	C6H15O15P3	419.9624
C01246	C26H47O9P(C5H8)n	
C01247	C4H7N2O6PR2	
C01249	C10H9NO5	223.0481
C01250	C7H11NO4	173.0688
C01251	C7H10O7	206.0427
C01252	C10H9NO4	207.0532
C01253	C22H34N10O15P2R2	
C01255	C12H24N2O3	244.1787
C01256	C4H6N2O3R2	
C01259	C9H21N2O3	205.1552
C01260	C20H28N10O19P4	836.0483
C01261	C20H28N10O21P4	868.0381
C01262	C10H16N4O3	240.1222
C01263	C15H12O5	272.0685
C01264	C5H10O7PR	
C01265	C17H14O7	330.074
C01267	C6H9N2O5P	220.0249
C01268	C9H15N4O9P	354.0577
C01269	C10H13O10P	324.0246
C01270	C7H7NO3	153.0426
C01271	C3H4O2SR2	
C01272	C6H16O18P4	499.9287
C01273	C12H10O4	218.0579
C01274	C31H45N6O17P	804.2579
C01275	C11H8O5	220.0372
C01277	C11H18O16P2R2	
C01278	C7H6O6	186.0164
C01279	C6H9N3O	139.0746
C01280	C21H43N7O18P2	743.214
C01281	C10H10N2O3R2	
C01282	C27H52NO8PR	
C01283	C6H14NO8P	259.0457
C01284	C6H17O21P5	579.895
C01286	C6H11O9P	258.0141
C01288	C19H30NO18PR2	
C01289	C63H105NO12P2	1129.7112
C01290	C31H56NO13R	
C01291	C32H50N7O19P3S	961.2095
C01292	C24H38O5	406.2719
C01293	C4H7N2O6PR2	
C01294	C7H16N3O8P	301.0675
C01295	C7H12O6	192.0634
C01297	C10H14N2O2	194.1055
C01298	C7H16N4O4	220.1172
C01299	C20H22N7O9PR2	
C01300	C7H9N5O2	195.0756
C01301	C27H46O4	434.3396
C01302	C12H16NO9P	349.0563
C01304	C9H16N5O8P	353.0736
C01306	C16H27N2O11R	
C01308	C4H7N2O6PR2	
C01310	C14H21NO11	379.1115
C01311	C20H34NO15R	
C01312	C20H32O5	352.225
C01319	Hg	201.9706
C01322	XR	
C01324	Br	78.9183
C01326	CHN	27.0109
C01327	HCl	35.9767
C01328	OH	17.0027
C01329	C5H10O7PR	
C01330	Na	22.9898
C01334	ClR	
C01335	HOR	
C01336	HSR	
C01343	HgR	
C01344	C10H14N4O10P2	412.0185
C01345	C10H15N4O13P3	491.9848
C01346	C9H14N2O11P2	388.0073
C01352	C27H35N9O15P2	787.1728
C01353	H2CO3	62.0004
C01355		
C01356		
C01359	C14H8N2O8	332.0281
C01367	C10H14N5O7P	347.0631
C01368	C9H13N2O9P	324.0359
C01370	C2H3O2R	
C01371	HR	
C01372	C2H2R2	
C01378	C15H12O6	288.0634
C01380	C2H6O2	62.0368
C01382	I2	253.8089
C01384	C4H4O4	116.011
C01387	C8H18	114.1409
C01389	C20H40O	296.3079
C01392	C11H13N2O4R(C2H2NOR)n	
C01401	C3H7NO2	89.0477
C01402	C7H6NOR	
C01403	C7H8O	108.0575
C01405	C9H8O4	180.0423
C01407	C6H6	78.047
C01408	C14H12O2	212.0837
C01412	C4H8O	72.0575
C01414	C20H32	272.2504
C01416	C17H21NO4	303.1471
C01417	CHNO	43.0058
C01418	C8H16N2O7	252.0958
C01419	C5H10N2O3S	178.0412
C01420	C6H12N2O4S2	240.0238
C01421	C15H16O9	340.0794
C01424	C7H6O5	170.0215
C01432	C3H6O3	90.0317
C01433	C17H26O10	390.1526
C01438	CH4	16.0313
C01441	C12H26N4O6	322.1852
C01444	C2H3NO3	89.0113
C01448	C16H12O5	284.0685
C01449	C12H15N5O3	277.1175
C01450	COR2	
C01451	C13H18O7	286.1053
C01454	C8H8O2	136.0524
C01455	C7H8	92.0626
C01456	C9H10O3	166.063
C01457	C46H77NO17	915.5192
C01460	C21H20O10	432.1056
C01467	C7H8O	108.0575
C01468	C7H8O	108.0575
C01469	C10H14N5O10P2R	
C01470	C16H12O5	284.0685
C01471	C3H4O	56.0262
C01474	C14H8O4	240.0423
C01477	C15H10O5	270.0528
C01479	C17H23NO3	289.1678
C01485	HClO3	83.9614
C01486	HClO2	67.9665
C01487	C6H12O6	180.0634
C01488	C5H10O5	150.0528
C01489	C6H14O6	182.079
C01490	(C14H21NO11)n	
C01494	C10H10O4	194.0579
C01495	C15H10O3	238.063
C01499	C10H16O	152.1201
C01500	C10H18O	154.1358
C01502	C7H8O2	124.0524
C01504	C9H8O	132.0575
C01506	C2H5O2R	
C01507	C6H14O6	182.079
C01510	C5H10O5	150.0528
C01512	C16H24O10	376.1369
C01513	C13H18N6O3	306.144
C01514	C15H10O6	286.0477
C01516	C17H19NO3	285.1365
C01518	C12H22O11	342.1162
C01525	CH2SR2	
C01526	C8H8N2O2	164.0586
C01527	C16H18O9	354.0951
C01528	H2Se	81.9322
C01530	C18H36O2	284.2715
C01533	C17H24O9	372.142
C01537	C3H7NO2	89.0477
C01540	C25H43N13O10	685.3256
C01542	C7H8O	108.0575
C01545	C8H16O	128.1201
C01546	C5H4O3	112.016
C01547		
C01548	C2H2	26.0157
C01550	C12H17N3O4	267.1219
C01551	C4H6N4O3	158.044
C01557	C12H8O4	216.0423
C01561	C27H44O2	400.3341
C01562	C16H12O5	284.0685
C01563	CH3NO2	61.0164
C01564	C17H23NO4	305.1627
C01566	CH2N2	42.0218
C01569	C5H12O5	152.0685
C01571	C10H20O2	172.1463
C01572	C14H10O9	322.0325
C01573	C14H21N5O4R2	
C01575	C10H15NO	165.1154
C01579		
C01581	C16H25N5O16P2	605.0772
C01585	C6H12O2	116.0837
C01586	C9H9NO3	179.0582
C01589	C3H4N2	68.0374
C01590	C20H20O6	356.126
C01592	C15H12O5	272.0685
C01593	C26H34O10	506.2152
C01594	C10H17NO6	247.1056
C01595	C18H32O2	280.2402
C01596	C4H5NO3	115.0269
C01598	C13H16N2O2	232.1212
C01599		
C01600	C11H21O15P2R	
C01602	C5H12N2O2	132.0899
C01604	C21H24O10	436.1369
C01606	C8H6O4	166.0266
C01607	C20H40O2	312.3028
C01609		
C01610	C22H29N7O5	471.223
C01612	CH2OR2	
C01613	C24H42O21	666.2219
C01614	HSO3NHR	
C01616	C5H11NO5S	197.0358
C01617	C15H12O7	304.0583
C01618	C19H28O4	320.1988
C01620	C4H8O5	136.0372
C01623	C14H22N2O16P2	536.0445
C01624	C10H10O3	178.063
C01625	C11H20O10	312.1056
C01626	C25H32N2O6	456.226
C01628	C11H7O2R	
C01629		
C01635		
C01636		
C01637		
C01638		
C01639		
C01640		
C01641		
C01642		
C01643		
C01644		
C01645		
C01646		
C01647		
C01648		
C01649		
C01650		
C01651		
C01652		
C01653		
C01656	C3H3O3R	
C01659	C3H5NO	71.0371
C01661	C27H29NO11	543.1741
C01664	NH2R	
C01672	C5H14N2	102.1157
C01673	C27H44O3	416.329
C01674	C16H28N2O11	424.1693
C01677	C11H16N4O5	284.1121
C01678	C2H7NS	77.0299
C01680	C6H12O6	180.0634
C01682	C11H20N4O6	304.1383
C01685	C5H10O6	166.0477
C01693	C9H7NO4	193.0375
C01694	C28H44O	396.3392
C01697	C6H14O6	182.079
C01698	C6H12O6(C12H20O10)n	
C01699	C19H22O6	346.1416
C01701	C20H18O5	338.1154
C01702	C10H10N2O3R2	
C01705	C3H8NO5P	169.014
C01709	C16H14O6	302.079
C01710	C9H10O	134.0732
C01711	C12H22O11	342.1162
C01714	C21H20O10	432.1056
C01717	C10H7NO3	189.0426
C01719	C6H12O6	180.0634
C01720	C6H12O6	180.0634
C01721	C6H12O5	164.0685
C01722	C6H14O6	182.079
C01724	C30H50O	426.3862
C01725	C12H22O11	342.1162
C01726	C6H15N4O6P	270.0729
C01727	C12H10N4O2	242.0804
C01728	C12H22O11	342.1162
C01732	C5H6O4	130.0266
C01735	C17H17NO3	283.1208
C01736	C10H12N4O4	252.0859
C01739	C19H17N3O7	399.1067
C01742	C12H22O11	342.1162
C01743	C12H25N3O7	323.1693
C01744	C9H10O3	166.063
C01745	C14H12O2	212.0837
C01746	C5H11N	85.0891
C01747	C24H47NO7	461.3353
C01748	C13H10N2O	210.0793
C01750	C21H20O11	448.1006
C01751	C6H6O2	110.0368
C01752	C10H8O4	192.0423
C01753	C29H50O	414.3862
C01755	CHNS	58.983
C01756	C5H4N4S	152.0157
C01757	C6H8O4	144.0423
C01759	C17H34N4O10	454.2275
C01760	C13H20O3	224.1412
C01761	C21H22N2O3	350.163
C01762	C10H12N4O6	284.0757
C01764	C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n	
C01765	C10H18O	154.1358
C01766	C10H18O	154.1358
C01767	C10H14O	150.1045
C01768	(C6H8O6)n	
C01769	C4H8O2	88.0524
C01770	C4H6O2	86.0368
C01771	C4H6O2	86.0368
C01772	C9H8O3	164.0473
C01775		
C01777	C6H13NO2R	
C01779	C12H15N3O2S	265.0885
C01780	C21H28O5	360.1937
C01785	C6H6O2	110.0368
C01788	C15H25N3O14P2	533.0812
C01792	C10Cl10O	485.6834
C01794	C45H74N7O20P3S	1157.3922
C01795	C20H20NO4	338.1392
C01801	C5H10O4	134.0579
C01802	C27H44O	384.3392
C01804	C14H20N6O2	304.1648
C01810	H2O(C24H40O20)n	
C01812	C2H3O2X	59.0133
C01816	C17H36	240.2817
C01817	C8H16N2O4S2	268.0551
C01818	H2N2O2	62.0116
C01821	C21H20O11	448.1006
C01822	C18H36N4O11	484.2381
C01823	C18H36N4O11	484.2381
C01825	C6H12O6	180.0634
C01826	C5H11NO2	117.079
C01829	C15H11I4NO4	776.6867
C01832	C33H58N7O17P3S	949.2823
C01837	C2H5NO2	75.032
C01838	C18H36O	268.2766
C01839	C8H8O4	168.0423
C01841	C15H24	204.1878
C01842	C5H11NO	101.0841
C01845	C3H8O	60.0575
C01847	C17H23N4O9P	458.1203
C01848	C39H49NO14	755.3153
C01849	C39H47NO14	753.2997
C01850	C18H16O8	360.0845
C01851	C17H21NO4	303.1471
C01852	C17H24O10	388.1369
C01853	C8H6O5	182.0215
C01855	C14H17NO7	311.1005
C01857	C2H4OS	75.9983
C01860	C15H24	204.1878
C01861	S3O6	191.8857
C01863	C30H26O10	546.1526
C01864	C12H8O4	216.0423
C01866		
C01867		
C01868	C10H14O	150.1045
C01869	C9H13NO2	167.0946
C01870	C19H25NO10	427.1478
C01872	CH2XR	
C01874	C6H5IO	219.9385
C01875	C11H22O	170.1671
C01876	C19H30O	274.2297
C01877	C5H7NO3	129.0426
C01879	C5H7NO3	129.0426
C01880	C6H10O2	114.0681
C01881	C19H30O	274.2297
C01883	C2H3O2R	
C01884	C21H35O2R(C5H8)n	
C01885	C4H7O4R	
C01888	C3H7NO	73.0528
C01890	NH2R	
C01892	C4H6O2S2	149.9809
C01893	C10H17N3O2S	243.1041
C01894	C31H50N9O18P3S2	993.1928
C01898	H2O(C6H10O5)n	
C01902	C30H50O	426.3862
C01904	C5H12O5	152.0685
C01906	C6H12O6	180.0634
C01907	C27H29NO10	527.1791
C01909	C10H18N2O3	214.1317
C01912	C37H67NO13	733.4612
C01917	C18H36N4O10	468.2431
C01918	C19H37N5O7(R1)(R2)	
C01920	C31H50N7O17P3S	917.2197
C01921	C26H43NO6	465.309
C01923		
C01925	C20H37N3O13	527.2326
C01929	C6H9N3O	139.0746
C01931	C16H29N2O11PR2(C5H8O6PR)n	
C01933	C6H13NO2	131.0946
C01934	C6H12O6	180.0634
C01935	H2O(C6H10O5)n	
C01941	C23H24N4O9	500.1543
C01943	C30H50O	426.3862
C01944	C29H50N7O17P3S	893.2197
C01946	C35H61NO12	687.4194
C01948	C15H30O	226.2297
C01949	C5H10O	86.0732
C01951	C10H14O	150.1045
C01953	C21H32O2	316.2402
C01957	C16H22O10	374.1213
C01958	C18H27O2R	
C01959	C3H9N3O3S	167.0365
C01962	C3H7NO2S2	152.9918
C01967	C54H82O4	794.6213
C01969	C20H13N3O8	423.0703
C01971	C12H22O11	342.1162
C01972	C27H40N10O23P4R(C5H8O6PR)n	
C01977	C10H14N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C01978	C17H24N5O10P(C5H8O6PR)n(C5H8O6PR)n	
C01983	C8H8O3	152.0473
C01984	C8H8O3	152.0473
C01985		
C01986	C19H30O2	290.2246
C01987	C6H7NO	109.0528
C01988	C6H5NO3	139.0269
C01989	C6H10O5	162.0528
C01990	C6H6O8	206.0063
C01991	C4H8O3	104.0473
C01993	C10H10N4O5	266.0651
C01995	C3H7NO	73.0528
C01996	C7H16NO2	146.1181
C01997	C9H15N3O3R2	
C01998	C3H3N	53.0265
C02000	HSO4R	
C02001	C3H6O	58.0419
C02003	C15H9O5R2	
C02004	C15H24	204.1878
C02006	C17H12O5	296.0685
C02008	C27H28O5	432.1937
C02010	C17H26N8O5	422.2026
C02013	C24H42O21	666.2219
C02015	C42H70N14O32P6S2	1532.2148
C02020	C5H10O	86.0732
C02022	C4H8O4	120.0423
C02024	C6H10O7	194.0427
C02027	C26H32O8	472.2097
C02028	C2H2O4(CH2)n	
C02029	C10H15N5O	221.1277
C02031	C20H31N5O23P4R(R1)(C5H8O6PR)n	
C02034	C20H26O6	362.1729
C02035	C19H24O5	332.1624
C02037	C4H8N2O3	132.0535
C02038	C2H5NO2(C2H2NOR)n	
C02041	C41H74N7O17P3S	1061.4075
C02045	C4H8O4	120.0423
C02046	C17H23NO3	289.1678
C02047	C21H32N6O11PR(C5H8O6PR)n	
C02048	C12H22O11	342.1162
C02050	C39H66N7O17P3S	1029.3449
C02051	C8H14NOS2R	
C02055	C3H4NO3R	
C02056	C14H21N2O12PR4(C5H8O6PR)n	
C02059	C31H46O2	450.3498
C02060	C41H74N7O17P3S	1061.4075
C02061	C8H8O2(C5H8)n	
C02066	C8H15NO	141.1154
C02067	C9H12N2O6	244.0695
C02069		
C02073	C10H16O12P2R2(C5H8O6PR)n	
C02074	C27H32N2O8	512.2159
C02075	C21H29O2R	
C02076	C7H14O7	210.074
C02079	C28H26N4O3	466.2005
C02080	C9H4O6	208.0008
C02083	C8H8O	120.0575
C02084	H2S4O6	225.8734
C02085	C6H11O5SR	
C02086	C2H4O2S	91.9932
C02089	C9H14NO2R	
C02090	C27H49N9O10S2	723.3044
C02091	C3H7N3O3	133.0487
C02094	C40H56	536.4382
C02097	C16H26N2O16P2	564.0758
C02099	C15H12O2	224.0837
C02100	C10H19O16P3R(R1)(C5H8O6PR)n	
C02101	C6H12O6(C24H40O20)n	
C02103	C2H2O2XR	
C02105	C19H23NO4	329.1627
C02106	C19H21NO4	327.1471
C02107	C4H6O6	150.0164
C02110	C20H28O	284.214
C02112	C4H7O4R	
C02115	C4H9NO3	119.0582
C02117	C20H38O3	326.2821
C02119	C4H3O4R	
C02123	C7H12O5	176.0685
C02124	C6H5ClO	128.0029
C02126	C6H6N2O2	138.0429
C02128	C10H18O11P2R2(C5H8O5PR)n	
C02129	C6H10O3	130.063
C02130	C14H24O12	384.1268
C02132	C5H6O4	130.0266
C02133	CH2O5PR	
C02134	C21H23NO5	369.1576
C02135	C50H71N13O12	1045.5345
C02137	C8H6O3	150.0317
C02139	C35H34MgN4O5	614.238
C02140	C21H30O4	346.2144
C02141	C30H50O	426.3862
C02142	C5H9O4R	
C02143	C5H9O5R	
C02146	COR2	
C02151	C21H24N2O3	352.1787
C02153	C14H19NO9S2	409.0501
C02161	C12H8N2O2	212.0586
C02162	C13H10O5	246.0528
C02163	C21H33N9O11PR(C5H8O6PR)n	
C02165	C20H32O4	336.2301
C02166	C30H47N3O9S	625.3033
C02167	C7H6O6	186.0164
C02170	C4H6O4	118.0266
C02172	C10H7NO3	189.0426
C02174	H4P2O7(HPO3)n	
C02179	C2H5N2OR(C2H2NOR)n	
C02183	C6H6O3	126.0317
C02188	C7H13N3O2R2	
C02189	C4H6N2O3R2	
C02191	C34H34N4O4	562.258
C02193	C3H5NO3	103.0269
C02198	C20H32O5	352.225
C02199	C15H24N2O16P2	550.0601
C02200	C15H25N3O16P2	565.071
C02201	C9H10O3	166.063
C02206	C15H18O3	246.1256
C02207	C6H11NO4	161.0688
C02211	C10H17O10PR2(C5H8O6PR)n	
C02213	C10H16O	152.1201
C02214	C5H6O4	130.0266
C02216	C6H7N5	149.0701
C02217	C10H18O3	186.1256
C02218	C3H5NO2	87.032
C02220	C6H7NO4	157.0375
C02222	C6H6O5	158.0215
C02223	C5H10O	86.0732
C02224	C6H16NO	118.1232
C02225	C7H10O7	206.0427
C02226	C5H6O4	130.0266
C02231	C3H3NO4	117.0062
C02232	C27H42N7O20P3S	909.1418
C02235	C6H5NO4	155.0219
C02236	C7H6O5S	201.9936
C02237	C5H7NO3	129.0426
C02240	C5H8O2	100.0524
C02243	C11H14N4O5	282.0964
C02244		
C02245	HSOR	
C02247	C28H41N8O17P3S	886.1523
C02248	(C4H6N2O2SR2)2	
C02249	C41H66N7O17P3S	1053.3449
C02253	C12H18N4O	234.1481
C02265	C9H11NO2	165.079
C02266	C5H8O5	148.0372
C02269	C5H9O3R	
C02270	C5H11O7P(C5H8O5PR)n(C5H8O5PR)n	
C02271	CH2Cl2	83.9534
C02273	C12H18O13	370.0747
C02274	C9H8O2	148.0524
C02280	C16H25N5O16P2	605.0772
C02282	C20H29N7O12PR(C5H8O6PR)n	
C02283	C30H46O4	470.3396
C02284	C42H62O16	822.4038
C02287	C3H4O5	120.0059
C02288		
C02289	C10H14O	150.1045
C02290	C7H17N2O2	161.129
C02291	C7H14N2O4S	222.0674
C02293	C15H24O2	236.1776
C02294	C2H7N3	73.064
C02295	C6H8O4	144.0423
C02297	C2H6N2O(CH2)n	
C02298	C10H9NO2	175.0633
C02299	C7H9N	107.0735
C02301	C8H14NO4R	
C02303	C4H7N2O3R(C2H2NOR)n	
C02305	C4H10N3O5P	211.0358
C02306	H2PO3NH2	96.9929
C02307		
C02308		
C02315	C7H11N3O3S2R2	
C02318	C2H2S2R4	
C02320	C10H16N3O6SR	
C02321	(C5H8)n	
C02323	C7H8O2	124.0524
C02325	C11H14O4	210.0892
C02330	C15H22N2O18P2	580.0343
C02331	C25H40N7O17P3S	835.1414
C02333	C9H10N4O4	238.0702
C02335	C24H41N8O17P3S	838.1523
C02336	C6H12O6	180.0634
C02338	C6H12O5	164.0685
C02339	C21H34N5O23P4R(R1)(C5H8O6PR)n	
C02341	C6H6O6	174.0164
C02342		
C02344	C10H18O	154.1358
C02345	C15H14O2	226.0994
C02347	C6H12O6(C36H61O33P)n	
C02348	C4H6N4O3	158.044
C02350	C4H6N4O3	158.044
C02351	C6H4O2	108.0211
C02352	(C5H8O4)n	
C02353	C10H12N5O6P	329.0525
C02354	C9H12N3O7P	305.0413
C02355	C9H11N2O8P	306.0253
C02356	C4H9NO2	103.0633
C02357	C7H5ClO2	155.9978
C02359	C7H5FO2	140.0274
C02360	C6H10O5	162.0528
C02362	C4H5NO4	131.0219
C02364	C7H5FO2	140.0274
C02366	C9H9NO	147.0684
C02367	C12H22O3	214.1569
C02370	C7H5ClO2	155.9978
C02371	C7H5FO2	140.0274
C02372	C6H7NO	109.0528
C02373	C6H12O	100.0888
C02374	C10H17O8PR2(C5H8O5PR)n	
C02375	C6H5ClO2	143.9978
C02376	C5H7N3O	125.0589
C02378	C6H13NO2	131.0946
C02379	C10H10O4	194.0579
C02380	C5H4N4S	152.0157
C02381	C11H12O4	208.0736
C02385	C6H14N4O2	174.1117
C02390	C2H6N2O2	90.0429
C02391	CO2R2	
C02394	C9H10O	134.0732
C02395	C6H8O	96.0575
C02399	C9H14N2O7R2	
C02400	C44H73NO17	887.4879
C02403	CO2R	
C02405	CH3O5P	125.9718
C02411	C26H40N7O19P3S	879.1313
C02412	C12H20NO11PR2(C5H8O6PR)n	
C02415	C7H13N3O2R2	
C02419	C3H9N3O2S	151.0415
C02420	C4H7N	69.0578
C02426	C3H6O3	90.0317
C02427	C7H15N3O3	189.1113
C02429	C8H15N2O3R(C2H2NOR)n	
C02430	C20H30N6O11PSR(C5H8O6PR)n	
C02431	C6H12O5	164.0685
C02434	C2H2O2R2	
C02436	CH4NR	
C02442	C9H13NO	151.0997
C02444	C7H13N2O3R	
C02445	C9H16O2	156.115
C02446	C3H5O3R	
C02452	C10H16O	152.1201
C02453	C18H24O	256.1827
C02456		
C02457	C3H8O2	76.0524
C02462	C10H18O	154.1358
C02463	C42H48N4O16	864.3065
C02465	C15H12I3NO4	650.79
C02466	H3P3O9	239.899
C02467	C15H25N3O16P2	565.071
C02469	C40H38N4O16	830.2283
C02471	C2H5NO2(C8H12N2O4S)n	
C02474	(C15H24O12)n	
C02475	C6H11O5R	
C02476	C6H12O5	164.0685
C02477	C29H50O2	430.3811
C02478	C6H11O6R	
C02480	C6H6O4	142.0266
C02483	C28H48O2	416.3654
C02485	C10H14O	150.1045
C02486	C6H13NO2	131.0946
C02488	C6H10O5	162.0528
C02489	C2H3O3R	
C02490	(C6H10O5)n	
C02492	(C6H10O5)n	
C02494	C11H15N5O4	281.1124
C02495	C15H10O5	270.0528
C02496	C6H4N2O5	184.012
C02497	C4H6O2	86.0368
C02498	C8H18O	130.1358
C02499	C12H10O	170.0732
C02501	C6H6O5	158.0215
C02502	C5H5NO	95.0371
C02504	C7H12O5	176.0685
C02505	C8H9NO	135.0684
C02506		
C02508	C5H10O7PR	
C02509	C13H19N5O13P2	515.0455
C02512	C4H6N2O2	114.0429
C02513	C27H42O6	462.2981
C02514	C7H6O6	186.0164
C02515	C9H10INO3	306.9705
C02519	C8H8O3	152.0473
C02520	C5H10O7PR	
C02526	C12H10O2	186.0681
C02527	C4H9O5P	168.0188
C02528	C24H40O4	392.2927
C02530	C28H45O2R	
C02532	C3H8NO6P	185.0089
C02533	C13H18O3	222.1256
C02534	HPO4R2	
C02535	C2H6Se	109.9635
C02536	C36H66O2(C5H8)n	
C02537	C18H24O2	272.1776
C02538	C18H22O5S	350.1188
C02545		
C02549	C20H22O7	374.1366
C02553	C13H22NO12PR2(C5H8O6PR)n	
C02554	C20H30N6O11PR(C5H8O6PR)n	
C02555	C26H21N3O5S	487.1202
C02557	C25H40N7O19P3S	867.1313
C02560	C5H6N2O	110.048
C02564	C12H13NO5	251.0794
C02565	C4H6N2O2	114.0429
C02567	C12H28N4O	244.2263
C02569	C10H20O7P2	314.0684
C02571	C9H18NO4	204.1236
C02572	C17H20O9	368.1107
C02574	C25H44N13O13P	765.2919
C02575	C6HCl5O	263.847
C02576	C10H14O	150.1045
C02582	C7H9N3O3S2R2	
C02583	C6H9N3O3R2	
C02587	C9H11N5O2	221.0913
C02588	C36H60O2	524.4593
C02589	C11H16N3O7SR	
C02590	C18H24O4S	336.1395
C02591	C12H23O14P	422.0825
C02592	C26H45NO5S	483.3018
C02593	C35H62N7O17P3S	977.3136
C02601	C4H6N2O3R2	
C02611	C33H44N7O19P3S	967.1626
C02612	C5H8O5	148.0372
C02614	C5H8O5	148.0372
C02616	(C6H10O5)n	
C02621	C15H24N2O2	264.1838
C02623	C2H3NO2R2	
C02625	C6H4Cl2O	161.9639
C02627	C6H14N2O3	162.1004
C02630	C5H8O5	148.0372
C02631	C7H10O4	158.0579
C02632	C4H8O2	88.0524
C02633	C27H44O7	480.3087
C02634	C3H6ClNO2	123.0087
C02635	C3H6ClNO2	123.0087
C02636	C7H14NO3	160.0974
C02637	C7H8O5	172.0372
C02642	C4H8N2O3	132.0535
C02646	C9H10O2	150.0681
C02647	C5H11N3O	129.0902
C02648	C4H4O2	84.0211
C02652	C7H8O5	172.0372
C02655	C8H14O7	222.074
C02656	C7H12O4	160.0736
C02657	C8H8O3	152.0473
C02658	CH2NOR	
C02659	C4H7NO	85.0528
C02660	C8H7NS	149.0299
C02661	CH2BrCl	127.9028
C02666	C10H10O3	178.063
