KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:4.2.1.162	H2O	18.0106
cpd:C00001	ec:4.2.1.164	H2O	18.0106
cpd:C00001	ec:4.2.1.165	H2O	18.0106
cpd:C00001	ec:4.2.1.169	H2O	18.0106
cpd:C00001	ec:4.2.1.17	H2O	18.0106
cpd:C00001	ec:4.2.1.171	H2O	18.0106
cpd:C00001	ec:4.2.1.172	H2O	18.0106
cpd:C00001	ec:4.2.1.173	H2O	18.0106
cpd:C00001	ec:4.2.1.174	H2O	18.0106
cpd:C00001	ec:4.2.1.18	H2O	18.0106
cpd:C00001	ec:4.2.1.19	H2O	18.0106
cpd:C00001	ec:4.2.1.2	H2O	18.0106
cpd:C00001	ec:4.2.1.20	H2O	18.0106
cpd:C00001	ec:4.2.1.22	H2O	18.0106
cpd:C00001	ec:4.2.1.24	H2O	18.0106
cpd:C00001	ec:4.2.1.25	H2O	18.0106
cpd:C00001	ec:4.2.1.27	H2O	18.0106
cpd:C00001	ec:4.2.1.28	H2O	18.0106
cpd:C00001	ec:4.2.1.3	H2O	18.0106
cpd:C00001	ec:4.2.1.30	H2O	18.0106
cpd:C00001	ec:4.2.1.31	H2O	18.0106
cpd:C00001	ec:4.2.1.32	H2O	18.0106
cpd:C00001	ec:4.2.1.33	H2O	18.0106
cpd:C00001	ec:4.2.1.34	H2O	18.0106
cpd:C00001	ec:4.2.1.35	H2O	18.0106
cpd:C00001	ec:4.1.99.5	H2O	18.0106
cpd:C00001	ec:4.2.1.1	H2O	18.0106
cpd:C00001	ec:4.2.1.10	H2O	18.0106
cpd:C00001	ec:4.2.1.100	H2O	18.0106
cpd:C00001	ec:4.2.1.101	H2O	18.0106
cpd:C00001	ec:4.2.1.103	H2O	18.0106
cpd:C00001	ec:4.2.1.105	H2O	18.0106
cpd:C00001	ec:4.2.1.106	H2O	18.0106
cpd:C00001	ec:4.2.1.107	H2O	18.0106
cpd:C00001	ec:4.2.1.108	H2O	18.0106
cpd:C00001	ec:4.2.1.109	H2O	18.0106
cpd:C00001	ec:4.2.1.11	H2O	18.0106
cpd:C00001	ec:4.2.1.110	H2O	18.0106
cpd:C00001	ec:4.2.1.111	H2O	18.0106
cpd:C00001	ec:4.2.1.112	H2O	18.0106
cpd:C00001	ec:4.2.1.113	H2O	18.0106
cpd:C00001	ec:4.2.1.114	H2O	18.0106
cpd:C00001	ec:4.2.1.115	H2O	18.0106
cpd:C00001	ec:4.2.1.116	H2O	18.0106
cpd:C00001	ec:4.2.1.117	H2O	18.0106
cpd:C00001	ec:3.9.1.3	H2O	18.0106
cpd:C00001	ec:4.1.1.107	H2O	18.0106
cpd:C00001	ec:4.1.1.108	H2O	18.0106
cpd:C00001	ec:3.6.2.1	H2O	18.0106
cpd:C00001	ec:3.6.2.2	H2O	18.0106
cpd:C00001	ec:3.6.5.1	H2O	18.0106
cpd:C00001	ec:3.6.5.2	H2O	18.0106
cpd:C00001	ec:3.6.5.3	H2O	18.0106
cpd:C00001	ec:3.6.5.4	H2O	18.0106
cpd:C00001	ec:3.6.5.5	H2O	18.0106
cpd:C00001	ec:3.6.5.6	H2O	18.0106
cpd:C00001	ec:3.7.1.1	H2O	18.0106
cpd:C00001	ec:3.7.1.10	H2O	18.0106
cpd:C00001	ec:3.7.1.11	H2O	18.0106
cpd:C00001	ec:3.7.1.12	H2O	18.0106
cpd:C00001	ec:3.7.1.13	H2O	18.0106
cpd:C00001	ec:3.7.1.14	H2O	18.0106
cpd:C00001	ec:3.7.1.17	H2O	18.0106
cpd:C00001	ec:3.7.1.18	H2O	18.0106
cpd:C00001	ec:3.7.1.19	H2O	18.0106
cpd:C00001	ec:3.7.1.2	H2O	18.0106
cpd:C00001	ec:3.7.1.20	H2O	18.0106
cpd:C00001	ec:3.7.1.21	H2O	18.0106
cpd:C00001	ec:3.7.1.22	H2O	18.0106
cpd:C00001	ec:3.7.1.23	H2O	18.0106
cpd:C00001	ec:3.7.1.24	H2O	18.0106
cpd:C00001	ec:3.7.1.25	H2O	18.0106
