"Control"	"Du"
"D9R592"	3	3
"D9R596"	0	0
"D9R598"	0	0
"D9R599"	4	3
"D9R5A1"	4	2
"D9R5A7"	3	4
"D9R5E1"	0	0
"D9R5F3"	0	0
"D9R5F7"	4	4
"D9R5H6"	4	2
"D9R5I4"	4	4
"D9R5I5"	0	0
"D9R5K4"	3	0
"D9R5K8"	4	4
"D9R5K9"	4	3
"D9R5L1"	4	4
"D9R5L5"	4	3
"D9R5N3"	0	0
"D9R5P1"	0	0
"D9R5P9"	4	4
"D9R5Q8"	4	3
"D9R5R7"	3	0
"D9R5S3"	4	3
"D9R5T6"	3	0
"D9R5T7"	4	0
"D9R5T8"	1	0
"D9R5U0"	4	4
"D9R5U2"	0	0
"D9R5U4"	0	0
"D9R5U6"	0	0
"D9R5U7"	0	0
"D9R5U8"	0	0
"D9R5U9"	4	4
"D9R5W1"	4	4
"D9R5W2"	4	1
"D9R5W7"	2	4
"D9R5W8"	3	3
"D9R5W9"	2	2
"D9R5X1"	0	0
"D9R5X2"	0	0
"D9R5X3"	0	0
"D9R5X7"	4	4
"D9R5Y1"	4	2
"D9R5Y3"	0	0
"D9R5Y4"	2	0
"D9R5Y5"	2	1
"D9R5Y6"	4	4
"D9R5Y7"	0	0
"D9R5Y9"	4	4
"D9R5Z1"	2	3
"D9R5Z7"	4	4
"D9R5Z9"	4	4
"D9R600"	4	4
"D9R603"	0	0
"D9R607"	2	4
"D9R608"	4	2
"D9R609"	3	2
"D9R613"	4	4
"D9R615"	4	4
"D9R616"	0	0
"D9R617"	0	0
"D9R618"	1	0
"D9R619"	2	3
"D9R620"	3	4
"D9R621"	0	0
"D9R622"	1	0
"D9R624"	3	4
"D9R626"	4	4
"D9R634"	4	4
"D9R652"	0	0
"D9R658"	1	0
"D9R661"	1	0
"D9R665"	4	1
"D9R667"	0	0
"D9R668"	0	0
"D9R671"	1	0
"D9R673"	4	4
"D9R674"	4	2
"D9R675"	4	4
"D9R681"	4	0
"D9R687"	4	3
"D9R689"	4	2
"D9R692"	1	0
"D9R6B2"	1	0
"D9R6B3"	4	2
"D9R6B4"	4	4
"D9R6C0"	3	1
"D9R6C1"	3	0
"D9R6C3"	4	2
"D9R6C6"	2	0
"D9R6C8"	4	4
"D9R6F5"	2	0
"D9R6I7"	4	1
"D9R6J1"	4	3
"D9R6J6"	2	2
"D9R6L0"	2	0
"D9R6L7"	0	0
"D9R6M5"	0	0
"D9R6M6"	0	0
"D9R6M8"	0	0
"D9R6N8"	0	0
"D9R6P7"	0	0
"D9R6Q2"	4	4
"D9R6Q3"	4	4
"D9R6Q4"	3	0
"D9R6Q5"	0	0
"D9R6Q6"	3	0
"D9R6R1"	0	0
"D9R6R8"	4	2
"D9R6S1"	4	1
"D9R6S3"	0	0
"D9R6S6"	2	1
"D9R6S7"	0	0
"D9R6S9"	4	4
"D9R6T3"	2	1
"D9R6U3"	4	4
"D9R6U4"	3	4
"D9R6U5"	1	2
"D9R6U8"	4	4
"D9R6V7"	4	3
"D9R6W6"	0	0
"D9R6W7"	2	3
"D9R6W8"	0	0
"D9R6W9"	2	0
"D9R6X0"	0	0
"D9R6X7"	4	4
"D9R6X8"	0	0
"D9R6X9"	4	0
"D9R6Y4"	3	1
"D9R6Y5"	4	0
"D9R6Y6"	4	1
"D9R6Y9"	3	4
"D9R701"	4	1
"D9R702"	0	0
"D9R705"	4	1
"D9R724"	4	3
"D9R733"	0	0
"D9R734"	3	4
"D9R737"	0	0
"D9R738"	0	0
"D9R741"	2	0
"D9R742"	4	4
"D9R743"	3	3
"D9R755"	4	0
"D9R756"	4	4
"D9R757"	4	3
"D9R767"	2	1
"D9R769"	4	4
"D9R772"	0	0
"D9R773"	4	3
"D9R774"	0	0
"D9R778"	4	4
"D9R781"	4	0
"D9R782"	4	3
"D9R783"	4	2
"D9R784"	0	0
"D9R787"	0	0
"D9R788"	4	1
"D9R796"	4	3
"D9R7A4"	4	3
"D9R7A5"	4	4
"D9R7A6"	4	1
"D9R7C4"	4	1
"D9R7C8"	4	4
"D9R7C9"	4	4
"D9R7D2"	4	0
"D9R7D4"	4	3
"D9R7D5"	4	4
"D9R7E4"	3	0
"D9R7G1"	4	4
"D9R7G3"	2	0
"D9R7G5"	0	0
"D9R7H4"	4	1
"D9R7H6"	0	0
"D9R7H7"	0	0
"D9R7H8"	4	0
"D9R7I5"	2	0
"D9R7J1"	4	4
"D9R7M2"	4	4
"D9R7M8"	4	4
"D9R7M9"	4	4
"D9R7N5"	4	4
"D9R7P7"	4	0
"D9R7P9"	3	0
"D9R7Q5"	4	4
"D9R7R0"	4	4
"D9R7R4"	0	0
"D9R7R7"	0	0
"D9R7R8"	0	0
"D9R7R9"	4	2
"D9R7S2"	0	0
"D9R7S3"	4	4
"D9R7S7"	4	4
"D9R7S8"	3	0
"D9R7T4"	4	3
"D9R7T9"	0	0
"D9R7U2"	4	1
"D9R7U8"	0	0
"D9R7V5"	4	4
"D9R7V8"	4	1
"D9R7W0"	4	2
"D9R7W3"	3	0
"D9R7W4"	0	0
"D9R7W8"	2	3
"D9R7X0"	0	0
"D9R823"	2	0
"D9R824"	4	4
"D9R825"	0	2
"D9R834"	0	0
"D9R850"	1	4
"D9R855"	4	3
"D9R862"	4	3
"D9R863"	0	2
"D9R868"	4	2
"D9R877"	1	0
"D9R886"	4	2
"D9R889"	4	4
"D9R893"	0	0
"D9R894"	1	0
"D9R895"	0	1
"D9R896"	0	0
"D9R899"	4	4
"D9R8A0"	1	2
"D9R8A1"	4	4
"D9R8A2"	0	0
"D9R8A7"	0	0
"D9R8B0"	4	4
"D9R8B1"	4	2
"D9R8B2"	2	0
"D9R8B3"	4	0
"D9R8B9"	4	4
"D9R8C2"	0	0
"D9R8C3"	4	2
"D9R8C6"	3	1
"D9R8D2"	4	3
"D9R8D3"	0	0
"D9R8E1"	0	0
"D9R8E4"	3	0
"D9R8E7"	4	3
"D9R8E9"	4	1
"D9R8G7"	3	3
"D9R8H9"	4	4
"D9R8I0"	4	4
"D9R8J0"	0	0
"D9R8J1"	0	0
"D9R8J9"	4	4
"D9R8K4"	1	0
"D9R8K5"	3	3
"D9R8K7"	4	4
"D9R8L2"	3	4
"D9R8L4"	4	4
"D9R8L6"	0	0
"D9R8M0"	4	4
"D9R8M1"	4	3
"D9R8M7"	0	0
"D9R8N2"	3	0
"D9R8N5"	4	4
"D9R8N6"	4	3
"D9R8N7"	4	1
"D9R8P0"	2	1
"D9R8P2"	3	0
"D9R8P4"	0	2
"D9R8P5"	3	0
"D9R8Q5"	4	3
"D9R8Q9"	4	3
"D9R8R4"	3	3
"D9R8T0"	0	0
"D9R8T3"	4	4
"D9R8T5"	4	3
"D9R8T6"	0	0
"D9R8T8"	4	4
"D9R8T9"	4	0
"D9R8U2"	4	4
"D9R8V1"	4	4
"D9R8V2"	0	0
"D9R8V3"	0	0
"D9R8V4"	1	0
"D9R8V5"	1	2
"D9R8V6"	0	0
"D9R8V7"	4	4
"D9R8V8"	0	0
"D9R8W0"	4	4
"D9R8W2"	0	0
"D9R8W3"	4	4
"D9R8X2"	4	1
"D9R8X4"	4	4
"D9R8X6"	0	0
"D9R8X8"	4	1
"D9R8Y3"	4	0
"D9R911"	4	0
"D9R913"	4	3
"D9R962"	4	4
"D9R967"	4	4
"D9R971"	4	1
"D9R972"	4	4
"D9R976"	4	4
"D9R978"	0	0
"D9R981"	3	2
"D9R989"	4	3
"D9R995"	1	0
"D9R9A5"	4	3
"D9R9B0"	4	4
"D9R9C5"	3	0
"D9R9C7"	3	3
"D9R9C9"	4	2
"D9R9D0"	3	0
"D9R9D2"	4	4
"D9R9D7"	3	2
"D9R9E0"	0	0
"D9R9F0"	1	0
"D9R9F1"	3	0
"D9R9F2"	4	1
"D9R9F8"	2	3
"D9R9F9"	4	3
"D9R9G3"	4	3
"D9R9G4"	4	3
"D9R9G6"	4	1
"D9R9G7"	4	3
"D9R9G8"	4	2
"D9R9G9"	4	0
"D9R9H0"	0	0
"D9R9H5"	4	4
"D9R9H6"	1	0
"D9R9H7"	1	0
"D9R9H8"	4	0
"D9R9H9"	4	4
"D9R9I1"	0	0
"D9R9I4"	0	0
"D9R9K6"	4	4
"D9R9L2"	4	1
"D9R9L7"	3	4
"D9R9M4"	4	4
"D9R9N2"	3	4
"D9R9R2"	4	2
"D9R9R9"	4	4
"D9R9S0"	4	4
"D9R9S1"	4	4
"D9R9S2"	4	1
"D9R9S3"	4	2
"D9R9S5"	3	1
"D9R9S6"	4	4
"D9R9S8"	4	0
"D9R9U9"	4	4
"D9R9V2"	4	4
"D9R9V3"	4	4
"D9R9V5"	2	3
"D9R9V7"	0	0
"D9R9W5"	4	3
"D9R9W6"	2	0
"D9R9W7"	0	0
"D9R9W9"	4	3
"D9R9X0"	4	2
"D9R9X4"	4	0
"D9R9X6"	3	4
"D9R9X7"	0	0
"D9R9X8"	4	4
"D9R9Y2"	4	4
"D9R9Y6"	4	4
"D9R9Z3"	0	0
"D9R9Z4"	4	4
"D9R9Z5"	4	1
"D9R9Z6"	0	0
"D9R9Z7"	3	0
"D9R9Z8"	4	0
"D9RA01"	4	4
"D9RA02"	3	4
"D9RA08"	1	0
"D9RA10"	4	0
"D9RA12"	4	3
"D9RA13"	4	4
"D9RA14"	2	3
"D9RA20"	4	3
"D9RA22"	2	0
"D9RA23"	0	0
"D9RA27"	4	0
"D9RA39"	4	1
"D9RA40"	4	4
"D9RA41"	2	1
"D9RA43"	4	3
"D9RA44"	4	3
"D9RA54"	4	4
"D9RA73"	4	3
"D9RA77"	4	4
"D9RA87"	3	4
"D9RA89"	1	0
"D9RA90"	4	0
"D9RA96"	0	0
"D9RA99"	4	0
"D9RAA0"	4	0
"D9RAA3"	1	0
"D9RAA4"	0	0
"D9RAB0"	0	0
"D9RAB7"	0	0
"D9RAB8"	4	1
"D9RAB9"	0	0
"D9RAC0"	0	0
"D9RAC4"	4	3
"D9RAC5"	0	0
"D9RAC6"	4	3
"D9RAC7"	2	0
"D9RAC8"	4	4
"D9RAC9"	1	3
"D9RAD3"	1	0
"D9RAE1"	4	2
"D9RAE9"	0	0
"D9RAF5"	4	3
"D9RAG1"	0	3
"D9RAG2"	2	2
"D9RAG3"	0	0
"D9RAG4"	2	4
"D9RAG5"	0	0
"D9RAG6"	0	0
"D9RAG8"	0	0
"D9RAH0"	4	4
"D9RAH3"	4	3
"D9RAH6"	4	4
"D9RAH8"	0	0
"D9RAH9"	4	4
"D9RAI1"	4	3
