go.ontology	go.id
Biological process	GO:0001961
Biological process	GO:0001963
Biological process	GO:0001964
Biological process	GO:0001966
Biological process	GO:0001967
Biological process	GO:0001969
Biological process	GO:0001970
Biological process	GO:0001971
Biological process	GO:0001973
Biological process	GO:0001974
Biological process	GO:0001975
Biological process	GO:0001976
Biological process	GO:0001977
Biological process	GO:0001978
Biological process	GO:0001979
Biological process	GO:0001980
Biological process	GO:0001981
Biological process	GO:0001982
Biological process	GO:0001983
Biological process	GO:0001984
Biological process	GO:0001985
Biological process	GO:0001986
Biological process	GO:0001987
Biological process	GO:0001988
Biological process	GO:0001989
Biological process	GO:0001990
Biological process	GO:0001991
Biological process	GO:0001992
Biological process	GO:0001993
Biological process	GO:0001994
Biological process	GO:0001995
Biological process	GO:0001996
Biological process	GO:0001997
Biological process	GO:0001998
Biological process	GO:0001999
Biological process	GO:0002000
Biological process	GO:0002001
Biological process	GO:0002002
Biological process	GO:0002003
Biological process	GO:0002004
Biological process	GO:0002005
Biological process	GO:0002006
Biological process	GO:0002007
Biological process	GO:0002008
Biological process	GO:0002009
Biological process	GO:0002010
Biological process	GO:0002011
Biological process	GO:0002012
Biological process	GO:0002013
Biological process	GO:0002014
Biological process	GO:0002015
Biological process	GO:0002016
Biological process	GO:0002017
Biological process	GO:0002018
Biological process	GO:0002019
Biological process	GO:0002021
Biological process	GO:0002022
Biological process	GO:0002023
Biological process	GO:0002024
Biological process	GO:0002025
Biological process	GO:0002026
Biological process	GO:0002027
Biological process	GO:0002028
Biological process	GO:0002029
Biological process	GO:0002030
Biological process	GO:0002031
Biological process	GO:0002032
Biological process	GO:0002033
Biological process	GO:0002034
Biological process	GO:0002035
Biological process	GO:0002036
Biological process	GO:0002037
Biological process	GO:0002038
Biological process	GO:0002040
Biological process	GO:0002041
Biological process	GO:0002042
Biological process	GO:0002043
Biological process	GO:0002044
Biological process	GO:0002045
Biological process	GO:0002047
Biological process	GO:0002048
Biological process	GO:0002049
Biological process	GO:0002050
Biological process	GO:0002051
Biological process	GO:0002052
Biological process	GO:0002053
Biological process	GO:0002062
Biological process	GO:0002063
Biological process	GO:0002064
Biological process	GO:0002065
Biological process	GO:0002066
Biological process	GO:0002067
Biological process	GO:0002068
Biological process	GO:0002069
Biological process	GO:0002070
Biological process	GO:0002071
Biological process	GO:0002072
Biological process	GO:0002074
Biological process	GO:0002075
Biological process	GO:0002076
Biological process	GO:0002077
Biological process	GO:0002078
Biological process	GO:0002082
Biological process	GO:0002084
Biological process	GO:0002085
Biological process	GO:0002086
Biological process	GO:0002087
Biological process	GO:0002088
Biological process	GO:0002089
Biological process	GO:0002090
Biological process	GO:0002091
Biological process	GO:0002092
Biological process	GO:0002093
Biological process	GO:0002097
Biological process	GO:0002098
Biological process	GO:0002099
Biological process	GO:0002100
Biological process	GO:0002101
Biological process	GO:0002103
Biological process	GO:0002104
Biological process	GO:0002105
Biological process	GO:0002106
Biological process	GO:0002107
Biological process	GO:0002108
Biological process	GO:0002109
Biological process	GO:0002110
Biological process	GO:0002115
Biological process	GO:0002117
Biological process	GO:0002118
Biological process	GO:0002119
Biological process	GO:0002120
Biological process	GO:0002121
Biological process	GO:0002122
Biological process	GO:0002123
Biological process	GO:0002124
Biological process	GO:0002125
Biological process	GO:0002126
Biological process	GO:0002127
Biological process	GO:0002128
Biological process	GO:0002129
Biological process	GO:0002130
Biological process	GO:0002131
Biological process	GO:0002132
Biological process	GO:0002136
Biological process	GO:0002138
Biological process	GO:0002143
Biological process	GO:0002146
Biological process	GO:0002147
Biological process	GO:0002148
Biological process	GO:0002149
Biological process	GO:0002150
Biological process	GO:0002152
Biological process	GO:0002154
Biological process	GO:0002155
Biological process	GO:0002156
Biological process	GO:0002157
Biological process	GO:0002158
Biological process	GO:0002159
Biological process	GO:0002160
Biological process	GO:0002164
Biological process	GO:0002165
Biological process	GO:0002168
Biological process	GO:0002174
Biological process	GO:0002175
Biological process	GO:0002176
Biological process	GO:0002181
Biological process	GO:0002182
Biological process	GO:0002183
Biological process	GO:0002184
Biological process	GO:0002188
Biological process	GO:0002190
Biological process	GO:0002191
Biological process	GO:0002192
Biological process	GO:0002194
Biological process	GO:0002195
Biological process	GO:0002200
Biological process	GO:0002201
Biological process	GO:0002202
Biological process	GO:0002203
Biological process	GO:0002204
Biological process	GO:0002205
Biological process	GO:0002206
Biological process	GO:0002207
Biological process	GO:0002208
Biological process	GO:0002209
Biological process	GO:0002210
Biological process	GO:0002211
Biological process	GO:0002212
Biological process	GO:0002213
Biological process	GO:0002215
Biological process	GO:0002218
Biological process	GO:0002220
Biological process	GO:0002221
Biological process	GO:0002222
Biological process	GO:0002223
Biological process	GO:0002224
Biological process	GO:0002225
Biological process	GO:0002227
Biological process	GO:0002228
Biological process	GO:0002229
Biological process	GO:0002230
Biological process	GO:0002231
Biological process	GO:0002232
Biological process	GO:0002233
Biological process	GO:0002234
Biological process	GO:0002235
Biological process	GO:0002236
Biological process	GO:0002237
Biological process	GO:0002238
Biological process	GO:0002239
Biological process	GO:0002240
Biological process	GO:0002241
Biological process	GO:0002242
Biological process	GO:0002243
Biological process	GO:0002244
Biological process	GO:0002246
Biological process	GO:0002247
Biological process	GO:0002248
Biological process	GO:0002249
Biological process	GO:0002250
Biological process	GO:0002251
Biological process	GO:0002252
Biological process	GO:0002253
Biological process	GO:0002254
Biological process	GO:0002255
Biological process	GO:0002256
Biological process	GO:0002257
Biological process	GO:0002258
Biological process	GO:0002259
Biological process	GO:0002260
Biological process	GO:0002261
Biological process	GO:0002262
Biological process	GO:0002263
Biological process	GO:0002264
Biological process	GO:0002265
Biological process	GO:0002266
Biological process	GO:0002267
Biological process	GO:0002268
Biological process	GO:0002269
Biological process	GO:0002270
Biological process	GO:0002271
Biological process	GO:0002272
Biological process	GO:0002273
Biological process	GO:0002274
Biological process	GO:0002275
Biological process	GO:0002276
Biological process	GO:0002277
Biological process	GO:0002278
Biological process	GO:0002279
Biological process	GO:0002280
Biological process	GO:0002281
Biological process	GO:0002282
Biological process	GO:0002283
Biological process	GO:0002284
Biological process	GO:0002285
Biological process	GO:0002286
Biological process	GO:0002287
Biological process	GO:0002288
Biological process	GO:0002289
Biological process	GO:0002290
Biological process	GO:0002291
Biological process	GO:0002292
Biological process	GO:0002293
Biological process	GO:0002294
Biological process	GO:0002295
Biological process	GO:0002296
Biological process	GO:0002297
Biological process	GO:0002298
Biological process	GO:0002299
Biological process	GO:0002300
Biological process	GO:0002301
Biological process	GO:0002302
Biological process	GO:0002303
Biological process	GO:0002304
Biological process	GO:0002305
Biological process	GO:0002306
Biological process	GO:0002307
Biological process	GO:0002308
Biological process	GO:0002309
Biological process	GO:0002310
Biological process	GO:0002311
Biological process	GO:0002312
Biological process	GO:0002313
Biological process	GO:0002314
Biological process	GO:0002315
Biological process	GO:0002316
Biological process	GO:0002317
Biological process	GO:0002318
Biological process	GO:0002319
Biological process	GO:0002320
Biological process	GO:0002321
Biological process	GO:0002322
Biological process	GO:0002323
Biological process	GO:0002324
Biological process	GO:0002325
Biological process	GO:0002326
Biological process	GO:0002327
Biological process	GO:0002328
Biological process	GO:0002329
Biological process	GO:0002330
Biological process	GO:0002331
Biological process	GO:0002332
Biological process	GO:0002333
Biological process	GO:0002334
Biological process	GO:0002335
Biological process	GO:0002336
Biological process	GO:0002337
Biological process	GO:0002338
Biological process	GO:0002339
Biological process	GO:0002340
Biological process	GO:0002341
Biological process	GO:0002342
Biological process	GO:0002343
Biological process	GO:0002344
Biological process	GO:0002345
Biological process	GO:0002346
Biological process	GO:0002347
Biological process	GO:0002348
Biological process	GO:0002349
Biological process	GO:0002350
Biological process	GO:0002351
Biological process	GO:0002352
Biological process	GO:0002353
Biological process	GO:0002354
Biological process	GO:0002355
Biological process	GO:0002356
Biological process	GO:0002357
Biological process	GO:0002358
Biological process	GO:0002359
Biological process	GO:0002360
Biological process	GO:0002361
Biological process	GO:0002362
Biological process	GO:0002363
Biological process	GO:0002364
Biological process	GO:0002365
Biological process	GO:0002366
Biological process	GO:0002367
Biological process	GO:0002368
Biological process	GO:0002369
Biological process	GO:0002370
Biological process	GO:0002371
Biological process	GO:0002372
Biological process	GO:0002373
Biological process	GO:0002374
Biological process	GO:0002375
Biological process	GO:0002376
Biological process	GO:0002377
Biological process	GO:0002378
Biological process	GO:0002379
Biological process	GO:0002380
Biological process	GO:0002381
Biological process	GO:0002382
Biological process	GO:0002383
Biological process	GO:0002384
Biological process	GO:0002385
Biological process	GO:0002386
Biological process	GO:0002387
Biological process	GO:0002388
Biological process	GO:0002389
Biological process	GO:0002390
Biological process	GO:0002391
Biological process	GO:0002392
Biological process	GO:0002393
Biological process	GO:0002394
Biological process	GO:0002395
Biological process	GO:0002396
Biological process	GO:0002397
Biological process	GO:0002398
Biological process	GO:0002399
Biological process	GO:0002400
Biological process	GO:0002401
Biological process	GO:0002402
Biological process	GO:0002403
Biological process	GO:0002404
Biological process	GO:0002405
Biological process	GO:0002406
Biological process	GO:0002407
Biological process	GO:0002408
Biological process	GO:0002409
Biological process	GO:0002410
Biological process	GO:0002411
Biological process	GO:0002412
Biological process	GO:0002413
Biological process	GO:0002414
Biological process	GO:0002415
Biological process	GO:0002416
Biological process	GO:0002417
Biological process	GO:0002418
Biological process	GO:0002419
Biological process	GO:0002420
Biological process	GO:0002421
Biological process	GO:0002422
Biological process	GO:0002423
Biological process	GO:0002424
Biological process	GO:0002425
