cond.org	org	media	growth	mono_growth	max	max_mono	max_pvalue	max_diff	max_fold	mu	mu_mono	mu_pvalue	mu_diff	mu_fold	lag	lag_mono	lag_pvalue	lag_diff	lag_fold	max_pvalue_adj	mu_pvalue_adj	lag_pvalue_adj	max_log_fold	mu_log_fold	lag_log_fold	max_interaction_type	max_interaction_type_adj	mu_interaction_type	mu_interaction_type_adj	lag_interaction_type	lag_interaction_type_adj	max_tech.pval
simvastatin|DMSO	C. comes	GMM	no growth;growth	no growth;growth	0.713833333333334	0.694833333333334	0.214831205975857	0.019	1.02706614435676	0.134493214293466	0.127779597282181	0.0189195703650659	0.00671361701128474	1.06177896535574	24387.3052002038	23918.806807414	0.623459784870193	468.498392789801	1.01255226266934	0.736804412090951	0.825347829504112	0.843255023342643	0.0385290960306329	0.0864834659776041	0.0179963743162657	none	none	none	none	none	none	0.994277472528585
simvastatin|DMSO	C. ramosum	GMM	growth	growth	0.459	0.549333333333333	0.206982556060218	-0.099	0.832734653456644	0.0885112053117744	0.0996626386162454	0.399168284240892	-0.0161996346972197	0.852898901242998	33821.6414264155	34876.8655638878	0.629699846820179	-3148.20577614332	0.960772472286218	0.736804412090951	0.889953851270856	0.843255023342643	-0.264071233302065	-0.229553353718358	-0.0577332788407882	none	none	none	none	none	none	0.228841486177363
simvastatin|DMSO	C. saccharolyticum	GMM	growth	growth	1.148	1.162	0.841321158489214	-0.0139999999999999	0.983233908948195	0.162518682279277	0.154204599628108	0.877235421366644	0.00831408265116933	1.19424071176259	52614.5	48933	0.555559781592477	3681.5	1.22458683567593	0.94242826609031	0.965604313704756	0.825492782818201	-0.0243934238596275	0.256093656255563	0.292295079297728	none	none	none	none	none	none	0.784159548243757
simvastatin|DMSO	E. coli ED1a	GMM	growth	growth	0.654222222222222	0.667888888888889	0.846685489413252	-0.0136666666666663	0.977924400109814	0.127991395417274	0.118480539144089	0.263642963115924	0.00951085627318521	1.09006316077627	7193.98741251505	6744.9059822118	0.334090518600595	449.081430303257	1.06896894492908	0.94242826609031	0.889953851270856	0.795827572208633	-0.0322051550701491	0.124411730505638	0.0962199413207007	none	none	none	none	none	none	0.994689815728365
simvastatin|DMSO	E. coli IAI1	GMM	growth	growth	0.678555555555556	0.765888888888889	0.258586606420092	-0.0873333333333333	0.887367030869192	0.128870777742353	0.13662960715873	0.134750138261529	-0.00775882941637706	0.943727756524454	7117.43076438428	7390.20065298084	0.139717161166449	-272.76988859656	0.962289014003677	0.760138690839965	0.889953851270856	0.795827572208633	-0.172397142456191	-0.0835573591967662	-0.0554578366001403	none	none	none	none	none	none	0.21188537433262
simvastatin|DMSO	E. lenta	GMM	growth	growth	0.9045	0.844	0.401534907235505	0.0604999999999999	1.07334567394932	0.0346300915479177	0.0423156563906348	0.23519200547153	-0.0076855648427171	0.825503529324807	39098	34317	0.37889068285618	4781	1.16756215434005	0.821233191789003	0.889953851270856	0.795827572208633	0.102114774863889	-0.276653711694908	0.223499352822614	none	none	none	none	none	none	0.548637187648538
simvastatin|DMSO	E. rectale	GMM	growth	growth	0.296777777777778	0.25	0.277785946110751	0.0467777777777777	1.21497969004719	0.0394925519366511	0.0279473178994956	0.393370958832233	0.0115452340371556	1.67438569652772	48958.3333333333	47553.6666666667	0.831557865830588	1404.66666666667	1.02298469555435	0.761470939517429	0.889953851270856	0.937873212393692	0.280932197523974	0.743631892508534	0.0327845616883156	none	none	none	none	none	none	0.57693056651958
simvastatin|DMSO	F. nucleatum subsp. nucleatum	GMM	growth	growth	0.344666666666667	0.374111111111111	0.547812513955733	-0.0294444444444443	0.968303100177807	0.0176877150368549	0.0185453123303	0.491561424894806	-0.000857597293445169	0.953016327172011	43210.027660189	37836.2804059164	0.4907879414504	5373.74725427253	1.10647104610911	0.852512965505075	0.889953851270856	0.795827572208633	-0.0464693813988917	-0.069427164143209	0.145965699506457	none	none	none	none	none	none	0.856738121081979
simvastatin|DMSO	L. gasseri	GMM	growth	growth	1.42666666666667	1.4015	0.630219578779916	0.0164999999999993	1.01743961060335	0.1204157259841	0.107958790422005	0.149908766907603	0.0135946414114865	1.160650549708	24314	24322.5	0.997561954669743	-232	1.01335622333662	0.863269527182906	0.889953851270856	1	0.0249431669056808	0.214933668938348	0.0191414113568368	none	none	none	none	none	none	0.45172135426278
simvastatin|DMSO	L. lactis	GMM	growth	growth	0.485833333333333	0.502083333333333	0.110373197006169	-0.0181666666666667	0.966438322608824	0.159927577377955	0.159538769219913	0.959473256025783	-0.000144731939783115	1.0055529010404	8204.20829438742	7544.59033558331	0.22993136295153	619.85856052222	1.05593959043522	0.699850236288699	0.983787393118055	0.795827572208633	-0.0492504312617123	0.00798898225097764	0.0785273014838203	none	none	none	none	none	none	0.498968969446301
simvastatin|DMSO	L. paracasei	GMM	growth	growth	0.573	0.581222222222222	0.876991186875568	-0.00511111111111068	0.992061652186723	0.0723871915849046	0.0897899557983216	0.285901242288319	-0.0174066925406467	0.757548578031678	10807	9087.75	0.328211027486502	1164.5	1.1418565880196	0.94917153147438	0.889953851270856	0.795827572208633	-0.0114983144564498	-0.400589690079604	0.191381466160286	none	none	none	none	none	none	0.940702903997253
simvastatin|DMSO	L. plantarum	GMM	growth	growth	0.965333333333333	0.888833333333333	0.690636497949005	0.0765000000000005	1.07758138460315	0.179002710946271	0.181259621308167	0.943689441783641	-0.00225691036189679	1.00561342428148	13645.5	13273.5	0.5	372	1.03059210526316	0.881734946410622	0.977323898986519	0.795827572208633	0.1077968333324	0.0080758140347919	0.043473446040106	none	none	none	none	none	none	0.751059826455669
simvastatin|DMSO	Mix Depletion	GMM	growth	growth	0.87	0.884	0.713674137507347	-0.014	0.973229652669777	0.233647926688621	0.173098733326478	0.488551466491766	0.0605491933621427	1.28479562979503	6858.5	6858.5	1	0	1	0.891145306612959	0.889953851270856	1	-0.0391478174512215	0.361538890679758	0	none	none	none	none	none	none	0.850540152217546
simvastatin|DMSO	Mix NoDepletion	GMM	growth	growth	0.4465	0.413	0.772125719827999	0.0245	1.05660255510319	0.1642846760003	0.175947389725393	0.634725780506254	-0.00634664959738157	0.970671106269661	1915.5	6779	0.0144270167185714	-4941	0.284724134931716	0.897591289545928	0.899907710367358	0.758861079396858	0.0794328037689948	-0.0429455466489262	-1.81236330510712	none	none	none	none	none	none	0.42516453869404
simvastatin|DMSO	R. gnavus	GMM	no growth;growth	no growth;growth	0.984833333333334	0.950666666666667	0.615390855408627	0.034166666666667	1.03876578074912	0.0828450036307969	0.0831290053254298	0.992122233151601	-0.000284001694632888	1.04291438617245	25550.5	23877	0.204376161031782	1673.5	1.07451231050244	0.854278610928991	0.996204522505658	0.795827572208633	0.054870394334311	0.0606207305192153	0.103682011568932	none	none	none	none	none	none	0.918958446204087
simvastatin|DMSO	R. torques	GMM	no growth;growth	no growth;growth	0.831666666666667	1.0425	0.628358551926555	-0.239833333333333	0.67526591711618	0.0711205051546694	0.0796001356121611	0.856137021038031	-0.0275847665512326	0.963132598813988	116055	61142	0.452144709218096	48549	1.65671158071553	0.862967619617148	0.956110558526549	0.795827572208633	-0.566472353083246	-0.0541936608038605	0.728322463579814	none	none	none	none	none	none	0.478393395651442
