organism	protein_id	original_protein_id
C. saccharolyticum	D9R1E9	D9R1E9
C. saccharolyticum	D9R1F0	D9R1F0
C. saccharolyticum	D9R1F1	D9R1F1
C. saccharolyticum	D9R1F2	D9R1F2
C. saccharolyticum	D9R1F3	D9R1F3
C. saccharolyticum	D9R1F4	D9R1F4
C. saccharolyticum	D9R1F5	D9R1F5
C. saccharolyticum	D9R1F8	D9R1F8
C. saccharolyticum	D9R1F9	D9R1F9
C. saccharolyticum	D9R1G0	D9R1G0
C. saccharolyticum	D9R1G1	D9R1G1
C. saccharolyticum	D9R1G2	D9R1G2
C. saccharolyticum	D9R1G3	D9R1G3
C. saccharolyticum	D9R1G6	D9R1G6
C. saccharolyticum	D9R1G7	D9R1G7|D9R5U9
C. saccharolyticum	D9R1G8	D9R1G8
C. saccharolyticum	D9R1H2	D9R1H2
C. saccharolyticum	D9R1H5	D9R1H5
C. saccharolyticum	D9R1H6	D9R1H6
C. saccharolyticum	D9R1H7	D9R1H7
C. saccharolyticum	D9R1H9	D9R1H9|D9R4F8
C. saccharolyticum	D9R1I0	D9R1I0
C. saccharolyticum	D9R1I2	D9R1I2
C. saccharolyticum	D9R1I3	D9R1I3|D9R2P1
C. saccharolyticum	D9R1I4	D9R1I4|D9R2P2|D9R3I1
C. saccharolyticum	D9R1I5	D9R1I5|D9R2P3
C. saccharolyticum	D9R1I6	D9R1I6|D9R2P4|D9R3H9
C. saccharolyticum	D9R1I7	D9R1I7|D9R2P5
C. saccharolyticum	D9R1I8	D9R1I8|D9R2P6
C. saccharolyticum	D9R1J2	D9R1J2
C. saccharolyticum	D9R1J3	D9R1J3
C. saccharolyticum	D9R1J4	D9R1J4
C. saccharolyticum	D9R1J7	D9R1J7
C. saccharolyticum	D9R1K6	D9R1K6|D9R377
C. saccharolyticum	D9R1K8	D9R1K8
C. saccharolyticum	D9R1L2	D9R1L2
C. saccharolyticum	D9R1L5	D9R1L5
C. saccharolyticum	D9R1L7	D9R1L7
C. saccharolyticum	D9R1L8	D9R027|D9R1L8|D9R7G4
C. saccharolyticum	D9R1L9	D9R1L9
C. saccharolyticum	D9R1M0	D9R1M0
C. saccharolyticum	D9R1M1	D9R1M1
C. saccharolyticum	D9R1M3	D9R1M3
C. saccharolyticum	D9R1M4	D9R1M4
C. saccharolyticum	D9R1M7	D9R1M7
C. saccharolyticum	D9R1M9	D9R1M9
C. saccharolyticum	D9R1N8	D9R1N8
C. saccharolyticum	D9R1P1	D9R1P1
C. saccharolyticum	D9R1P3	D9R1P3
C. saccharolyticum	D9R1P5	D9R1P5
C. saccharolyticum	D9R1P6	D9R1P6|D9R772|D9R7V6
C. saccharolyticum	D9R1P7	D9R1P7
C. saccharolyticum	D9R1P9	D9R1P9
C. saccharolyticum	D9R1Q0	D9R1Q0
C. saccharolyticum	D9R1Q2	D9R1Q2
C. saccharolyticum	D9R1Q4	D9R1Q4
C. saccharolyticum	D9R1Q7	D9R1Q7
C. saccharolyticum	D9R1Q8	D9R1Q8
C. saccharolyticum	D9R1Q9	D9R1Q9
C. saccharolyticum	D9R1R1	D9R1R1
C. saccharolyticum	D9R1R2	D9R1R2
C. saccharolyticum	D9R1R5	D9R1R5
