organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9R075	GMK	FALSE	0	""
Csaccha	D9R076	RPOZ	FALSE	0	""
Csaccha	D9R077	RIMO	FALSE	0	""
Csaccha	D9R079	CINA	FALSE	0	""
Csaccha	D9R080	CLOSA_1952	FALSE	0	""
Csaccha	D9R083	CLOSA_1955	FALSE	0	""
Csaccha	D9R085	RPMB	FALSE	0	""
Csaccha	D9R086	CLOSA_1958	FALSE	0	""
Csaccha	D9R087	CLOSA_1959	FALSE	0	""
Csaccha	D9R088	CLOSA_3801	FALSE	0	""
Csaccha	D9R089	CLOSA_3802	FALSE	0	""
Csaccha	D9R090	CLOSA_3803	FALSE	0	""
Csaccha	D9R092	CLOSA_3805	FALSE	0	""
Csaccha	D9R093	CLOSA_3806	FALSE	0	""
Csaccha	D9R094	CLOSA_3807	FALSE	0	""
Csaccha	D9R095	CLOSA_3808	FALSE	0	""
Csaccha	D9R096	CLOSA_3809	FALSE	0	""
Csaccha	D9R098	CLOSA_3811	FALSE	0	""
Csaccha	D9R099	TNAA	FALSE	0	""
Csaccha	D9R0A0	CLOSA_3813	FALSE	0	""
Csaccha	D9R0A3	CLOSA_3816	FALSE	0	""
Csaccha	D9R0A4	CLOSA_3817	FALSE	0	""
Csaccha	D9R0A7	CLOSA_3820	FALSE	0	""
Csaccha	D9R0B0	CLOSA_3823	FALSE	0	""
Csaccha	D9R0B2	CLOSA_3825	FALSE	0	""
Csaccha	D9R0B3	CLOSA_3826	FALSE	0	""
Csaccha	D9R0B4	CLOSA_3827	FALSE	0	""
Csaccha	D9R0B5	CLOSA_3828	FALSE	0	""
Csaccha	D9R0B7	CLOSA_3830	FALSE	0	""
Csaccha	D9R0B8	CLOSA_3831	FALSE	0	""
Csaccha	D9R0B9	CLOSA_3832	FALSE	0	""
Csaccha	D9R0C1	CLOSA_3836	FALSE	0	""
Csaccha	D9R0C2	CLOSA_3837	FALSE	0	""
Csaccha	D9R0C3	CLOSA_3838	FALSE	0	""
Csaccha	D9R0C4	CLOSA_3839	FALSE	0	""
Csaccha	D9R0C5	LEUA	FALSE	0	""
Csaccha	D9R0C6	CLOSA_3841	FALSE	0	""
Csaccha	D9R0C7	CLOSA_3842	FALSE	0	""
Csaccha	D9R0C8	GLMM	FALSE	0	""
Csaccha	D9R0D0	CLOSA_3845	FALSE	0	""
Csaccha	D9R0D1	CLOSA_3846	FALSE	0	""
Csaccha	D9R0D2|D9R169	MGSA	FALSE	0	""
Csaccha	D9R0D3	CLOSA_3848	FALSE	0	""
Csaccha	D9R0D5	CLOSA_3853	FALSE	0	""
Csaccha	D9R0D7	CLOSA_3855	FALSE	0	""
Csaccha	D9R0D8	CLOSA_3856	FALSE	0	""
Csaccha	D9R0D9	CLOSA_3857	FALSE	0	""
Csaccha	D9R0E0	CLOSA_3858	FALSE	0	""
Csaccha	D9R0E1	CLOSA_3859	FALSE	0	""
Csaccha	D9R0E2	CLOSA_3860	FALSE	0	""
Csaccha	D9R0E3	CLOSA_3861	FALSE	0	""
Csaccha	D9R0F3	CLOSA_3871	FALSE	0	""
Csaccha	D9R0F4	CLOSA_3872	FALSE	0	""
Csaccha	D9R0F7	CLOSA_3876	FALSE	0	""
Csaccha	D9R0G0	CLOSA_3879	FALSE	0	""
Csaccha	D9R0G2	CLOSA_3881	FALSE	0	""
Csaccha	D9R0G3	CLOSA_3882	FALSE	0	""
Csaccha	D9R0G4	CLOSA_3883	FALSE	0	""
Csaccha	D9R0G5	CLOSA_3884	FALSE	0	""
Csaccha	D9R0G6	CLOSA_3885	FALSE	0	""
Csaccha	D9R0G7	CLOSA_3886	FALSE	0	""
Csaccha	D9R0G8	CLOSA_3887	FALSE	0	""
Csaccha	D9R0G9|D9R0X0	GLGB	FALSE	0	""
Csaccha	D9R0H0	CLOSA_3889	FALSE	0	""
Csaccha	D9R0H1	CLOSA_3890	FALSE	0	""
Csaccha	D9R0H2	CLOSA_3891	FALSE	0	""
Csaccha	D9R0H3	CLOSA_3892	FALSE	0	""
Csaccha	D9R0H4	AROC	FALSE	0	""
Csaccha	D9R0H5	CLOSA_3894	FALSE	0	""
Csaccha	D9R0H6	CLOSA_3895	FALSE	0	""
Csaccha	D9R0H7	POTA	FALSE	0	""
Csaccha	D9R0H8	CLOSA_3897	FALSE	0	""
Csaccha	D9R0I0	CLOSA_3899	FALSE	0	""
Csaccha	D9R0I1	CLOSA_3900	FALSE	0	""
Csaccha	D9R0I2	CLOSA_3901	FALSE	0	""
Csaccha	D9R0I5	CLOSA_3904	FALSE	0	""
Csaccha	D9R0J0	CLOSA_3909	FALSE	0	""
Csaccha	D9R0J1	CLOSA_3910	FALSE	0	""
Csaccha	D9R0J3	CLOSA_3912	FALSE	0	""
Csaccha	D9R0J5	CLOSA_3914	FALSE	0	""
Csaccha	D9R0K2	CLOSA_3921	FALSE	0	""
Csaccha	D9R0K4	CLOSA_3923	FALSE	0	""
Csaccha	D9R0K6	CLOSA_3925	FALSE	0	""
