Well	Species	Concentration	Replicate	Time	OD
E5	C. saccharolyticum	60	3	23	0.569
E5	C. saccharolyticum	60	3	24	0.602
E6	C. saccharolyticum	50	1	0	0.141
E6	C. saccharolyticum	50	1	1	0.132
E6	C. saccharolyticum	50	1	2	0.125
E6	C. saccharolyticum	50	1	3	0.122
E6	C. saccharolyticum	50	1	4	0.12
E6	C. saccharolyticum	50	1	5	0.12
E6	C. saccharolyticum	50	1	6	0.122
E6	C. saccharolyticum	50	1	7	0.124
E6	C. saccharolyticum	50	1	8	0.131
E6	C. saccharolyticum	50	1	9	0.135
E6	C. saccharolyticum	50	1	10	0.18
E6	C. saccharolyticum	50	1	11	0.16
E6	C. saccharolyticum	50	1	12	0.207
E6	C. saccharolyticum	50	1	13	0.196
E6	C. saccharolyticum	50	1	14	0.244
E6	C. saccharolyticum	50	1	15	0.324
E6	C. saccharolyticum	50	1	16	0.374
E6	C. saccharolyticum	50	1	17	0.478
E6	C. saccharolyticum	50	1	18	0.444
E6	C. saccharolyticum	50	1	19	0.616
E6	C. saccharolyticum	50	1	20	0.558
E6	C. saccharolyticum	50	1	21	0.616
E6	C. saccharolyticum	50	1	22	0.561
E6	C. saccharolyticum	50	1	23	0.551
E6	C. saccharolyticum	50	1	24	0.517
E6	C. saccharolyticum	50	2	0	0.145
E6	C. saccharolyticum	50	2	1	0.138
E6	C. saccharolyticum	50	2	2	0.129
E6	C. saccharolyticum	50	2	3	0.125
E6	C. saccharolyticum	50	2	4	0.123
E6	C. saccharolyticum	50	2	5	0.124
E6	C. saccharolyticum	50	2	6	0.126
E6	C. saccharolyticum	50	2	7	0.128
E6	C. saccharolyticum	50	2	8	0.131
E6	C. saccharolyticum	50	2	9	0.134
E6	C. saccharolyticum	50	2	10	0.139
E6	C. saccharolyticum	50	2	11	0.186
E6	C. saccharolyticum	50	2	12	0.22
E6	C. saccharolyticum	50	2	13	0.184
E6	C. saccharolyticum	50	2	14	0.318
E6	C. saccharolyticum	50	2	15	0.327
E6	C. saccharolyticum	50	2	16	0.466
E6	C. saccharolyticum	50	2	17	0.397
E6	C. saccharolyticum	50	2	18	0.53
E6	C. saccharolyticum	50	2	19	0.48
E6	C. saccharolyticum	50	2	20	0.602
E6	C. saccharolyticum	50	2	21	0.616
E6	C. saccharolyticum	50	2	22	0.642
E6	C. saccharolyticum	50	2	23	0.455
E6	C. saccharolyticum	50	2	24	0.453
E6	C. saccharolyticum	50	3	0	0.143
E6	C. saccharolyticum	50	3	1	0.135
E6	C. saccharolyticum	50	3	2	0.128
E6	C. saccharolyticum	50	3	3	0.124
E6	C. saccharolyticum	50	3	4	0.122
E6	C. saccharolyticum	50	3	5	0.123
E6	C. saccharolyticum	50	3	6	0.126
E6	C. saccharolyticum	50	3	7	0.131
E6	C. saccharolyticum	50	3	8	0.136
E6	C. saccharolyticum	50	3	9	0.136
E6	C. saccharolyticum	50	3	10	0.196
E6	C. saccharolyticum	50	3	11	0.149
E6	C. saccharolyticum	50	3	12	0.177
E6	C. saccharolyticum	50	3	13	0.217
E6	C. saccharolyticum	50	3	14	0.236
E6	C. saccharolyticum	50	3	15	0.344
E6	C. saccharolyticum	50	3	16	0.344
E6	C. saccharolyticum	50	3	17	0.452
E6	C. saccharolyticum	50	3	18	0.51
E6	C. saccharolyticum	50	3	19	0.55
E6	C. saccharolyticum	50	3	20	0.802
E6	C. saccharolyticum	50	3	21	0.609
E6	C. saccharolyticum	50	3	22	0.57
E6	C. saccharolyticum	50	3	23	0.607
E6	C. saccharolyticum	50	3	24	0.43
E7	C. saccharolyticum	40	1	0	0.143
E7	C. saccharolyticum	40	1	1	0.134
E7	C. saccharolyticum	40	1	2	0.127
E7	C. saccharolyticum	40	1	3	0.124
E7	C. saccharolyticum	40	1	4	0.123
E7	C. saccharolyticum	40	1	5	0.125
E7	C. saccharolyticum	40	1	6	0.126
E7	C. saccharolyticum	40	1	7	0.132
E7	C. saccharolyticum	40	1	8	0.144
E7	C. saccharolyticum	40	1	9	0.143
E7	C. saccharolyticum	40	1	10	0.16
E7	C. saccharolyticum	40	1	11	0.245
E7	C. saccharolyticum	40	1	12	0.362
E7	C. saccharolyticum	40	1	13	0.345
E7	C. saccharolyticum	40	1	14	0.419
