annotation	ec
TIGR01072	2.5.1.7
TIGR01073	3.6.4.12
TIGR01074	3.6.4.12
TIGR01075	3.6.4.12
TIGR01076	3.4.22.-
TIGR01078	3.5.3.6
TIGR01082	6.3.2.8
TIGR01083	4.2.99.18
TIGR01084	3.2.2.-
TIGR01086	4.1.2.17
TIGR01087	6.3.2.9
TIGR01088	4.2.1.10
TIGR01089	5.3.1.25
TIGR01090	2.4.2.7
TIGR01091	2.4.2.9
TIGR01093	4.2.1.10
TIGR01099	2.7.7.9
TIGR01100	3.6.3.14
TIGR01101	3.6.3.14
TIGR01104	3.6.1.1
TIGR01106	3.6.3.-
TIGR01107	3.6.3.9
TIGR01108	4.1.1.3
TIGR01111	2.1.1.86
TIGR01112	2.1.1.86
TIGR01113	2.1.1.86
TIGR01114	2.1.1.86
TIGR01116	3.6.3.8
TIGR01117	4.1.1.41
TIGR01118	5.3.1.26
TIGR01119	5.3.1.26
TIGR01120	5.3.1.6
TIGR01121	2.6.1.21
TIGR01122	2.6.1.42
TIGR01123	2.6.1.42
TIGR01124	4.3.1.19
TIGR01125	2.1.1.-
TIGR01125	2.8.1.-
TIGR01127	4.3.1.19
TIGR01128	2.7.7.7
TIGR01131	3.6.3.14
TIGR01132	5.4.2.2
TIGR01133	2.4.1.227
TIGR01134	2.4.2.14
TIGR01135	2.6.1.16
TIGR01136	2.5.1.47
TIGR01137	4.2.1.22
TIGR01138	2.5.1.47
TIGR01139	2.5.1.47
TIGR01140	4.1.1.81
TIGR01141	2.6.1.9
TIGR01142	2.1.2.-
TIGR01143	6.3.2.10
TIGR01144	3.6.3.14
TIGR01145	3.6.3.14
TIGR01146	3.6.3.14
TIGR01147	3.6.3.14
TIGR01148	2.1.1.86
TIGR01149	2.1.1.86
TIGR01151	1.10.3.9
TIGR01156	1.10.9.1
TIGR01161	4.1.1.21
TIGR01162	4.1.1.21
TIGR01163	5.1.3.1
TIGR01172	2.3.1.30
TIGR01173	2.7.7.23
TIGR01173	2.3.1.157
TIGR01176	1.3.5.4
TIGR01178	3.5.4.2
TIGR01179	5.1.3.2
TIGR01181	4.2.1.46
TIGR01182	4.1.2.14
TIGR01182	4.1.3.16
TIGR01187	3.6.3.31
TIGR01189	3.6.3.41
TIGR01192	3.6.3.42
TIGR01196	4.2.1.12
TIGR01198	3.1.1.31
TIGR01203	2.4.2.8
TIGR01204	6.2.1.14
TIGR01205	6.3.2.4
TIGR01207	2.7.7.24
TIGR01208	2.7.7.24
TIGR01211	2.3.1.48
TIGR01213	5.4.99.25
TIGR01214	1.1.1.133
TIGR01216	3.6.3.14
TIGR01217	6.2.1.16
TIGR01219	2.7.4.2
TIGR01220	2.7.4.2
TIGR01221	5.1.3.13
TIGR01223	2.7.4.2
TIGR01224	3.5.2.7
TIGR01225	4.3.1.3
TIGR01226	4.3.1.24
TIGR01227	3.5.3.8
TIGR01228	4.2.1.49
TIGR01229	3.5.3.1
TIGR01230	3.5.3.11
TIGR01231	2.7.1.144
TIGR01232	4.1.2.40
TIGR01233	3.2.1.85
TIGR01234	2.7.1.16
TIGR01235	6.4.1.1
TIGR01236	1.2.1.88
TIGR01237	1.2.1.88
TIGR01238	1.2.1.88
TIGR01239	2.7.7.12
TIGR01240	4.1.1.33
TIGR01241	3.4.24.-
TIGR01245	2.4.2.18
TIGR01246	3.5.1.18
TIGR01249	3.4.11.5
TIGR01251	2.7.6.1
TIGR01252	4.1.1.5
TIGR01255	2.3.1.54
TIGR01260	3.6.3.14
TIGR01261	3.1.3.15
TIGR01262	5.2.1.2
TIGR01263	1.13.11.27
TIGR01264	2.6.1.5
TIGR01266	3.7.1.2
TIGR01267	1.14.16.1
TIGR01268	1.14.16.1
TIGR01269	1.14.16.2
TIGR01270	1.14.16.4
TIGR01271	3.6.3.49
TIGR01273	4.1.1.19
TIGR01274	3.5.99.7
TIGR01277	3.6.3.-
TIGR01278	1.3.7.7
TIGR01279	1.3.7.7
TIGR01280	3.1.11.6
TIGR01281	1.3.7.7
TIGR01282	1.18.6.1
TIGR01284	1.18.6.1
TIGR01286	1.18.6.1
TIGR01287	1.18.6.1
TIGR01289	1.3.1.33
TIGR01292	1.8.1.9
TIGR01296	1.2.1.11
TIGR01298	3.1.13.-
TIGR01302	1.1.1.205
TIGR01305	1.7.1.7
TIGR01306	1.7.1.7
TIGR01307	5.4.2.12
TIGR01311	2.7.1.30
TIGR01312	2.7.1.17
TIGR01313	2.7.1.-
TIGR01314	2.7.1.12
TIGR01315	2.7.1.-
TIGR01316	1.4.1.13
TIGR01317	1.4.1.-
TIGR01320	1.1.5.4
TIGR01322	3.2.1.-
TIGR01323	4.2.1.84
TIGR01324	4.4.1.8
TIGR01325	4.2.99.-
TIGR01327	1.1.1.95
TIGR01328	4.4.1.11
TIGR01329	4.4.1.8
TIGR01330	3.1.3.7
TIGR01331	3.1.3.7
TIGR01335	1.97.1.12
TIGR01336	1.97.1.12
TIGR01340	4.2.1.3
TIGR01341	4.2.1.3
TIGR01342	4.2.1.3
TIGR01344	2.3.3.9
TIGR01345	2.3.3.9
TIGR01346	4.1.3.1
TIGR01347	2.3.1.61
TIGR01348	2.3.1.12
TIGR01349	2.3.1.12
TIGR01350	1.8.1.4
TIGR01351	2.7.4.-
TIGR01353	3.1.5.1
TIGR01354	3.5.4.5
TIGR01355	3.5.4.5
TIGR01356	2.5.1.19
TIGR01357	4.2.3.4
TIGR01358	2.5.1.54
TIGR01359	2.7.4.-
TIGR01360	2.7.4.3
TIGR01361	2.5.1.54
TIGR01362	2.5.1.55
TIGR01364	2.6.1.52
TIGR01365	2.6.1.52
TIGR01366	2.6.1.52
TIGR01367	2.4.2.10
TIGR01368	6.3.5.5
TIGR01369	6.3.5.5
TIGR01371	2.1.1.14
TIGR01375	1.5.3.1
TIGR01378	2.7.6.2
TIGR01379	2.7.4.16
TIGR01380	6.3.2.3
TIGR01386	2.7.13.3
TIGR01388	3.1.13.5
TIGR01389	3.6.4.12
TIGR01390	3.1.4.16
TIGR01391	2.7.7.-
TIGR01392	2.3.1.31
TIGR01393	3.6.5.-
TIGR01405	2.7.7.7
TIGR01406	2.7.7.7
TIGR01416	1.10.2.2
TIGR01417	2.7.3.9
TIGR01418	2.7.9.2
TIGR01421	1.8.1.7
TIGR01422	3.11.1.1
TIGR01423	1.8.1.12
TIGR01424	1.8.1.7
TIGR01426	2.4.1.-
TIGR01428	3.8.1.2
TIGR01429	3.5.4.6
TIGR01430	3.5.4.4
TIGR01432	1.10.3.-
TIGR01433	1.10.3.-
TIGR01434	6.3.2.2
TIGR01435	6.3.2.2
TIGR01435	6.3.2.3
TIGR01436	6.3.2.2
TIGR01438	1.6.4.-
TIGR01441	3.4.24.78
TIGR01447	3.1.11.5
TIGR01449	3.1.3.18
TIGR01450	3.1.11.5
TIGR01452	3.1.3.18
TIGR01455	5.4.2.10
TIGR01463	2.1.1.-
TIGR01464	4.1.1.37
TIGR01465	2.1.1.133
TIGR01466	2.1.1.131
TIGR01467	2.1.1.130
TIGR01469	2.1.1.107
TIGR01472	4.2.1.47
TIGR01473	2.5.1.-
TIGR01474	2.5.1.-
TIGR01475	2.5.1.-
TIGR01476	2.5.1.-
TIGR01479	5.3.1.8
TIGR01479	2.7.7.13
TIGR01482	3.1.3.-
TIGR01485	3.1.3.24
TIGR01486	3.1.3.-
TIGR01487	3.1.3.18
TIGR01494	3.6.3.-
TIGR01496	2.5.1.15
TIGR01497	3.6.3.12
TIGR01498	2.7.6.3
TIGR01499	6.3.2.-
TIGR01500	1.1.1.153
TIGR01501	5.4.99.1
TIGR01502	4.3.1.2
TIGR01503	5.4.99.1
TIGR01504	4.1.1.47
TIGR01505	1.1.1.60
TIGR01506	2.5.1.9
TIGR01507	5.4.99.17
TIGR01508	1.1.1.-
TIGR01510	2.7.7.3
TIGR01511	3.6.3.4
TIGR01512	3.6.3.3
TIGR01513	6.3.4.21
TIGR01514	6.3.4.21
TIGR01515	2.4.1.18
TIGR01517	3.6.3.8
TIGR01518	2.7.7.39
TIGR01520	4.1.2.13
TIGR01521	4.1.2.13
TIGR01522	3.6.3.8
TIGR01523	3.6.3.-
TIGR01524	3.6.3.2
TIGR01525	3.6.3.-
TIGR01526	2.7.7.1
TIGR01527	2.7.7.1
TIGR01530	3.1.3.5
TIGR01530	3.6.1.22
TIGR01532	1.2.1.72
TIGR01534	1.2.1.-
TIGR01535	3.2.1.3
TIGR01536	6.3.5.4
TIGR01543	3.4.-.-
TIGR01546	1.2.1.59
TIGR01553	1.1.5.6
TIGR01556	2.4.1.-
TIGR01559	2.5.1.21
TIGR01574	2.-.-.-
TIGR01575	2.3.1.128
TIGR01580	1.7.99.4
TIGR01582	1.2.1.2
TIGR01583	1.2.1.2
TIGR01584	2.8.3.10
TIGR01588	4.1.3.6
TIGR01591	1.2.1.2
TIGR01596	3.1.-.-
TIGR01608	4.1.3.6
TIGR01621	5.4.99.-
TIGR01647	3.6.3.6
TIGR01650	6.6.1.2
TIGR01651	6.6.1.2
TIGR01652	3.6.3.1
TIGR01658	3.1.3.48
TIGR01660	1.7.99.4
TIGR01663	3.1.3.32
TIGR01664	3.1.3.32
TIGR01668	3.1.3.-
TIGR01670	3.1.3.45
TIGR01672	3.1.3.-
TIGR01676	1.3.2.3
TIGR01677	1.-.-.-
TIGR01688	6.1.1.13
TIGR01691	3.1.3.77
TIGR01692	1.1.1.31
TIGR01693	2.7.7.59
TIGR01694	2.4.2.28
TIGR01696	5.4.2.7
TIGR01697	2.4.2.1
TIGR01698	2.4.2.1
TIGR01699	2.4.2.1
TIGR01700	2.4.2.1
TIGR01702	1.2.99.2
TIGR01703	1.7.-.-
TIGR01704	3.2.2.16
TIGR01704	3.2.2.9
TIGR01706	1.7.99.4
TIGR01712	2.1.1.72
TIGR01717	3.2.2.4
TIGR01718	2.4.2.3
TIGR01719	2.4.2.3
TIGR01722	1.2.1.27
TIGR01723	1.12.98.2
TIGR01734	6.1.1.13
TIGR01735	6.3.5.3
TIGR01736	6.3.5.3
TIGR01737	6.3.5.3
TIGR01738	3.1.1.85
TIGR01740	4.1.1.23
TIGR01744	2.4.2.22
TIGR01745	1.2.1.11
TIGR01747	4.3.1.15
TIGR01748	5.3.1.14
TIGR01749	4.2.1.59
TIGR01750	4.2.1.-
TIGR01751	1.3.1.85
TIGR01755	1.6.5.2
TIGR01756	1.1.1.27
TIGR01757	1.1.1.82
TIGR01758	1.1.1.37
TIGR01759	1.1.1.-
TIGR01763	1.1.1.37
TIGR01767	2.7.1.100
TIGR01768	2.5.1.-
TIGR01769	2.5.1.41
TIGR01771	1.1.1.27
TIGR01772	1.1.1.37
TIGR01780	1.2.1.-
TIGR01787	5.4.-.-
TIGR01788	4.1.1.15
TIGR01791	5.4.99.5
TIGR01792	3.5.1.5
TIGR01793	2.3.3.1
TIGR01795	5.4.99.5
TIGR01796	5.4.99.5
TIGR01797	5.4.99.5
TIGR01798	2.3.3.1
TIGR01799	5.4.99.5
TIGR01801	5.4.99.5
TIGR01802	5.4.99.5
TIGR01804	1.2.1.8
TIGR01805	5.4.99.5
TIGR01806	5.4.99.5
TIGR01807	5.4.99.5
TIGR01808	5.4.99.5
TIGR01809	1.1.1.25
TIGR01810	1.1.99.1
TIGR01811	1.3.99.1
TIGR01814	3.7.1.3
TIGR01815	4.1.3.27
TIGR01819	2.7.8.28
TIGR01820	4.1.3.27
TIGR01821	2.3.1.37
TIGR01822	2.3.1.29
TIGR01823	2.6.1.85
TIGR01824	2.6.1.85
TIGR01825	2.3.1.-
TIGR01828	2.7.9.1
TIGR01829	1.1.1.36
TIGR01830	1.1.1.100
TIGR01832	1.1.1.125
TIGR01833	2.3.3.10
TIGR01835	2.3.3.10
TIGR01840	3.1.1.-
TIGR01849	3.1.1.-
TIGR01850	1.2.1.38
TIGR01851	1.2.1.38
TIGR01852	2.3.1.129
TIGR01853	2.3.1.191
TIGR01854	3.6.1.54
TIGR01855	2.4.2.-
TIGR01857	6.3.5.3
TIGR01858	4.1.2.-
TIGR01859	4.1.2.13
TIGR01860	1.18.6.1
TIGR01861	1.18.6.1
TIGR01862	1.18.6.1
TIGR01865	3.1.-.-
TIGR01877	3.1.-.-
TIGR01879	3.5.-.-
TIGR01880	3.5.1.14
TIGR01882	3.4.11.-
TIGR01885	2.6.1.13
TIGR01886	3.4.13.-
TIGR01887	3.4.13.-
TIGR01890	2.3.1.1
TIGR01892	3.5.1.16
TIGR01893	3.4.13.20
TIGR01900	3.5.1.18
TIGR01910	3.4.-.-
TIGR01916	6.3.2.31
TIGR01917	1.21.4.2
TIGR01919	5.3.1.16
TIGR01919	5.3.1.24
TIGR01920	2.7.1.71
TIGR01921	1.4.1.16
TIGR01922	3.5.4.10
TIGR01923	6.2.1.26
TIGR01924	2.7.11.1
TIGR01925	2.7.11.1
TIGR01927	4.2.1.113
TIGR01928	4.2.1.113
TIGR01929	4.1.3.36
TIGR01930	2.3.1.16
TIGR01931	1.8.1.2
TIGR01934	2.1.1.-
TIGR01936	1.6.5.-
TIGR01937	1.6.5.-
TIGR01938	1.6.5.-
TIGR01939	1.6.5.-
TIGR01940	1.6.5.-
TIGR01941	1.6.5.-
TIGR01942	2.7.7.19
TIGR01949	4.2.1.-
TIGR01959	1.6.99.5
TIGR01962	1.6.99.5
